<text id="machado1908">
<s>
agora	ADV	agora
me	P	me
lembrava	V	lembrar
,	VIRG	,
ainda	ADV	ainda
que	PR	que
vagamente	ADV	vagamente
,	VIRG	,
de	PRP	de
uma	DET	uma
senhora	NOM	senhor
que	PR	que
lá	ADV	lá
apareceu	V	aparecer
em	PRP	em
Andaraí	NOM	andaraí
,	VIRG	,
a	DET	a
quem	PR	quem
Rita	NOM	Rita
me	P	me
apresentou	V	apresentar
e	CONJ	e
com	PRP	com
quem	PR	quem
falei	V	falar
alguns	ADJ	algum
minutos	NOM	minuto
.	SENT	.
</s>
<s>
Viúva	NOM	viúvo
de	PRP	de
um	DET	um
médico	NOM	médico
,	VIRG	,
não	ADV	não
é	V	ser
?	SENT	?
Isso	P	isso
;	SENT	;
filha	NOM	filho
de	PRP	de
um	DET	um
fazendeiro	NOM	fazendeiro
da	PRP+DET	de
Paraíba	NOM	paraíba
do	PRP+DET	de
Sul	NOM	Sul
,	VIRG	,
o	DET	o
Barão	NOM	barão
de	PRP	de
Santa-	NOM	<unknown>
Pia	NOM	pia
.	SENT	.
</s>
<s>
Nesse	PRP+P	em
momento	NOM	momento
,	VIRG	,
a	DET	a
viúva	NOM	viúvo
descruzava	V	descruzar
as	DET	a
mãos	NOM	mão
,	VIRG	,
e	CONJ	e
fazia	V	fazer
gesto	NOM	gesto
de	PRP	de
ir	V	ir
embora	ADV	embora
.	SENT	.
</s>
<s>
Primeiramente	ADV	primeiramente
espraiou	V	espraiar
os	DET	o
olhos	NOM	olho
,	VIRG	,
como	CONJ	como
a	P	a
ver	V	ver
se	P	se
estava	V	estar
só	ADV	só
.	SENT	.
</s>
<s>
Talvez	ADV	talvez
quisesse	V	querer
beijar	V	beijar
a	DET	a
sepultura	NOM	sepultura
,	VIRG	,
o	DET	o
próprio	ADJ	próprio
nome	NOM	nome
do	PRP+DET	de
marido	NOM	marido
,	VIRG	,
mas	CONJ	mas
havia	V	haver
gente	NOM	gente
perto	ADV	perto
,	VIRG	,
sem	PRP	sem
contar	V	contar
dois	CARD	dois
coveiros	NOM	coveiro
que	PR	que
levavam	V	levar
um	DET	um
regador	NOM	regador
e	CONJ	e
uma	DET	uma
enxada	NOM	enxada
,	VIRG	,
e	CONJ	e
iam	V	ir
falando	V	falar
de	PRP	de
um	DET	um
enterro	NOM	enterro
daquela	PRP+P	aquela
manhã	NOM	manhã
.	SENT	.
</s>
<s>
Falavam	V	falar
alto	ADJ	alto
,	VIRG	,
e	CONJ	e
um	DET	um
escarnecia	V	escarnecer
do	PRP+DET	de
outro	ADJ	outro
,	VIRG	,
em	PRP	em
voz	NOM	voz
grossa	ADJ	grosso
:	SENT	:
"	QUOTE	"
Eras	V	ser
capaz	ADJ	capaz
de	PRP	de
levar	V	levar
um	DET	um
daqueles	PRP+P	aquele
ao	PRP+DET	a
morro	NOM	morro
?	SENT	?
Só	ADV	só
se	P	se
fossem	V	ir
quatro	CARD	quatro
como	CONJ	como
tu	P	tu
"	QUOTE	"
.	SENT	.
</s>
<s>
Tratavam	V	tratar
de	PRP	de
caixão	NOM	caixão
pesado	ADJ	pesado
,	VIRG	,
naturalmente	ADV	naturalmente
,	VIRG	,
mas	CONJ	mas
eu	P	eu
voltei	V	voltar
depressa	ADV	depressa
a	DET	a
atenção	NOM	atenção
para	PRP	para
a	DET	a
viúva	NOM	viúvo
,	VIRG	,
que	PR	que
se	P	se
afastava	V	afastar
e	CONJ	e
caminhava	V	caminhar
lentamente	ADV	lentamente
,	VIRG	,
sem	PRP	sem
mais	ADV	mais
olhar	V	olhar
para	PRP	para
trás	ADV	trás
.	SENT	.
</s>
<s>
Encoberto	V	encobertar
por	PRP	por
um	DET	um
mausoléu	NOM	mausoléu
,	VIRG	,
não	ADV	não
a	P	a
pude	V	poder
ver	V	ver
mais	ADV	mais
nem	ADV	nem
melhor	ADJ	melhor
que	CONJSUB	que
a	DET	a
princípio	NOM	princípio
.	SENT	.
</s>
<s>
Ela	P	ela
foi	V	ir
descendo	V	descender
até	PRP	até
o	DET	o
portão	NOM	portão
,	VIRG	,
onde	PR	onde
passava	V	passar
um	DET	um
bonde	NOM	bonde
em	PRP	em
que	PR	que
entrou	V	entrar
e	CONJ	e
partiu	V	partir
.	SENT	.
</s>
<s>
Nós	P	nós
descemos	V	descer
depois	ADV	depois
e	CONJ	e
viemos	V	vir
no	PRP+DET	em
outro	ADJ	outro
.	SENT	.
</s>
<s>
Rita	NOM	Rita
contou-me	V+P	contar
então	ADV	então
alguma	ADJ	alguma
coisa	NOM	coisa
da	PRP+DET	de
vida	NOM	vida
da	PRP+DET	de
moça	NOM	moço
e	CONJ	e
da	PRP+DET	de
felicidade	NOM	felicidade
grande	ADJ	grande
que	PR	que
tivera	V	ter
com	PRP	com
o	DET	o
marido	NOM	marido
,	VIRG	,
ali	ADV	ali
sepultado	V	sepultar
há	V	haver
mais	ADV	mais
de	PRP	de
dois	CARD	dois
anos	NOM	ano
.	SENT	.
</s>
<s>
Pouco	ADV	pouco
tempo	NOM	tempo
viveram	V	viver
juntos	ADJ	junto
.	SENT	.
</s>
<s>
Eu	P	eu
,	VIRG	,
não	ADV	não
sei	V	saber
por	PRP	por
que	PR	que
inspiração	NOM	inspiração
maligna	ADJ	maligno
,	VIRG	,
arrisquei	V	arriscar
esta	DET	esta
reflexão	NOM	reflexão
:	SENT	:
Não	ADV	não
quer	V	querer
dizer	V	dizer
que	CONJSUB	que
não	ADV	não
venha	V	vir
a	PRP	a
casar	V	casar
outra	ADJ	outro
vez	NOM	vez
.	SENT	.
</s>
<s>
Aquela	P	aquela
não	ADV	não
casa	NOM	casa
.	SENT	.
</s>
<s>
Quem	PR	quem
lhe	P	lhe
diz	V	dizer
que	CONJSUB	que
não	ADV	não
?	SENT	?
Não	ADV	não
casa	NOM	casa
;	SENT	;
basta	V	bastar
saber	V	saber
as	DET	a
circunstâncias	NOM	circunstância
do	PRP+DET	de
casamento	NOM	casamento
,	VIRG	,
a	DET	a
vida	NOM	vida
que	PR	que
tiveram	V	ter
e	CONJ	e
a	DET	a
dor	NOM	dor
que	PR	que
ela	P	ela
sentiu	V	sentir
quando	CONJ	quando
enviuvou	V	enviuvar
.	SENT	.
</s>
<s>
Não	ADV	não
quer	V	querer
dizer	V	dizer
nada	P	nada
,	VIRG	,
pode	V	poder
casar	V	casar
;	SENT	;
para	PRP	para
casar	V	casar
basta	V	bastar
estar	V	estar
viúva	NOM	viúvo
.	SENT	.
</s>
<s>
Mas	CONJ	mas
eu	P	eu
não	ADV	não
casei	V	casar
.	SENT	.
</s>
<s>
Você	P	você
é	V	ser
outra	ADJ	outro
coisa	NOM	coisa
,	VIRG	,
você	P	você
é	V	ser
única	ADJ	único
.	SENT	.
</s>
<s>
Rita	NOM	Rita
sorriu	V	sorrir
,	VIRG	,
deitando-me	V	<unknown>
uns	DET	um
olhos	NOM	olho
de	PRP	de
censura	NOM	censura
,	VIRG	,
e	CONJ	e
abanando	V	abanar
a	DET	a
cabeça	NOM	cabeça
,	VIRG	,
como	CONJ	como
se	P	se
me	P	me
chamasse	V	chamar
"	QUOTE	"
peralta	V	peraltar
"	QUOTE	"
.	SENT	.
</s>
<s>
Logo	ADV	logo
ficou	V	ficar
séria	ADJ	sério
,	VIRG	,
porque	CONJ	porque
a	DET	a
lembrança	NOM	lembrança
do	PRP+DET	de
marido	NOM	marido
fazia-a	V+P	fazer
realmente	ADV	realmente
triste	ADJ	triste
.	SENT	.
</s>
<s>
Meti	V	meter
o	DET	o
caso	NOM	caso
à	PRP+DET	a
bulha	NOM	bulha
;	SENT	;
ela	P	ela
,	VIRG	,
depois	ADV	depois
de	PRP	de
aceitar	V	aceitar
uma	DET	uma
ordem	NOM	ordem
de	PRP	de
idéias	NOM	ideia
mais	ADV	mais
alegre	ADJ	alegre
,	VIRG	,
convidou-me	V+P	convidar
a	PRP	a
ver	V	ver
se	P	se
a	DET	a
viúva	NOM	viúvo
Noronha	NOM	Noronha
casava	V	casar
comigo	P	comigo
;	SENT	;
apostava	V	apostar
que	CONJSUB	que
não	ADV	não
.	SENT	.
</s>
<s>
Com	PRP	com
os	DET	o
meus	ADJ	meu
sessenta	CARD	sessenta
e	CONJ	e
dois	CARD	dois
anos	NOM	ano
?	SENT	?
Oh	I	oh
!	SENT	!
não	ADV	não
os	P	o
parece	V	parecer
;	SENT	;
tem	V	ter
a	DET	a
verdura	NOM	verdura
dos	PRP+DET	de
trinta	CARD	trinta
.	SENT	.
</s>
<s>
Pouco	ADV	pouco
depois	ADV	depois
chegamos	V	chegar
a	DET	a
casa	NOM	casa
