word	female	male	total	skewness	pct_f	pct_m	chi2	p	pmi_f	pmi_m
adiantar	1	0	1	0.0	0.0	0.0	0.0	0.0	2.394033895367782	-inf
enlaçar	1	0	1	0.0	0.0	0.0	0.0	0.0	2.394033895367782	-inf
trazer	3	2	5	0.729157850190436	0.01875	0.002936857562408223	3.132622647725516	0.07674019364543248	1.6570683012015757	-1.0174770926442895
batir	1	0	1	0.0	0.0	0.0	0.0	0.0	2.394033895367782	-inf
superar	1	1	2	0.619500594530321	0.00625	0.0014684287812041115	0.046458915552656015	0.8293437543031312	1.3940338953677818	-0.6955489977569271
conhecer	1	3	4	0.17312661498708007	0.00625	0.004405286343612335	0.0	1.0	0.39403389536778183	-0.1105864970357707
encantar se	1	0	1	0.0	0.0	0.0	0.0	0.0	2.394033895367782	-inf
reinar	1	0	1	0.0	0.0	0.0	0.0	0.0	2.394033895367782	-inf
cultivar	1	0	1	0.0	0.0	0.0	0.0	0.0	2.394033895367782	-inf
vir	1	1	2	0.619500594530321	0.00625	0.0014684287812041115	0.046458915552656015	0.8293437543031312	1.3940338953677818	-0.6955489977569271
juntar	1	0	1	0.0	0.0	0.0	0.0	0.0	2.394033895367782	-inf
esconder	1	0	1	0.0	0.0	0.0	0.0	0.0	2.394033895367782	-inf
encheu	1	0	1	0.0	0.0	0.0	0.0	0.0	2.394033895367782	-inf
cantar	2	0	2	1.0	0.0125	0.0	4.077346249523065	0.043461867272583686	2.394033895367782	-inf
fiar	1	0	1	0.0	0.0	0.0	0.0	0.0	2.394033895367782	-inf
acrescentar	1	0	1	0.0	0.0	0.0	0.0	0.0	2.394033895367782	-inf
agarrar se	1	0	1	0.0	0.0	0.0	0.0	0.0	2.394033895367782	-inf
passar	1	1	2	0.619500594530321	0.00625	0.0014684287812041115	0.046458915552656015	0.8293437543031312	1.3940338953677818	-0.6955489977569271
verificar	1	0	1	0.0	0.0	0.0	0.0	0.0	2.394033895367782	-inf
recomendar	3	0	3	1.0	0.01875	0.0	8.082264123587791	0.0044700562833325875	2.394033895367782	-inf
esquecer	1	0	1	0.0	0.0	0.0	0.0	0.0	2.394033895367782	-inf
dizer	0	5	5	-1.0	0.0	0.007342143906020558	0.26593541690818434	0.6060714542353747	-inf	0.30445100224307314
misturar	0	5	5	-1.0	0.0	0.007342143906020558	0.26593541690818434	0.6060714542353747	-inf	0.30445100224307314
colocar	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
poder	0	8	8	-1.0	0.0	0.011747430249632892	0.8556293528562307	0.3549646835490331	-inf	0.30445100224307287
constatar	0	3	3	-1.0	0.0	0.004405286343612335	0.010869199479975274	0.9169666285568563	-inf	0.30445100224307314
encontrar	0	5	5	-1.0	0.0	0.007342143906020558	0.26593541690818434	0.6060714542353747	-inf	0.30445100224307314
conversar	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
expor	0	8	8	-1.0	0.0	0.011747430249632892	0.8556293528562307	0.3549646835490331	-inf	0.30445100224307287
antecipadora	0	3	3	-1.0	0.0	0.004405286343612335	0.010869199479975274	0.9169666285568563	-inf	0.30445100224307314
ouvir	0	10	10	-1.0	0.0	0.014684287812041116	1.2921822405046905	0.2556461807086502	-inf	0.30445100224307314
escrevo	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
ter	0	6	6	-1.0	0.0	0.00881057268722467	0.44840874464360553	0.5030915863515149	-inf	0.30445100224307314
sorriir	0	4	4	-1.0	0.0	0.005873715124816446	0.1110740227854269	0.738924673793631	-inf	0.30445100224307287
conseguir	0	2	2	-1.0	0.0	0.002936857562408223	0.0	1.0	-inf	0.30445100224307287
presenteado	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
guardar	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
tomar	0	4	4	-1.0	0.0	0.005873715124816446	0.1110740227854269	0.738924673793631	-inf	0.30445100224307287
andar	0	3	3	-1.0	0.0	0.004405286343612335	0.010869199479975274	0.9169666285568563	-inf	0.30445100224307314
descrever	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
restar	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
freqüentar	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
ninar	0	2	2	-1.0	0.0	0.002936857562408223	0.0	1.0	-inf	0.30445100224307287
conduzir	0	3	3	-1.0	0.0	0.004405286343612335	0.010869199479975274	0.9169666285568563	-inf	0.30445100224307314
adaptar	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
server	0	4	4	-1.0	0.0	0.005873715124816446	0.1110740227854269	0.738924673793631	-inf	0.30445100224307287
gritar	0	2	2	-1.0	0.0	0.002936857562408223	0.0	1.0	-inf	0.30445100224307287
mandar	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
identificar	0	3	3	-1.0	0.0	0.004405286343612335	0.010869199479975274	0.9169666285568563	-inf	0.30445100224307314
aproximar se	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
