word	female	male	total	skewness	pct_f	pct_m	chi2	p	pmi_f	pmi_m
meu	0	40	40	-1.0	0.0	0.05873715124816446	8.61323178254891	0.003337296209584927	-inf	0.30445100224307314
gonzalo	0	7	7	-1.0	0.0	0.010279001468428781	0.6469046132665924	0.42122153981261423	-inf	0.30445100224307287
romero	0	4	4	-1.0	0.0	0.005873715124816446	0.1110740227854269	0.738924673793631	-inf	0.30445100224307287
genro	0	2	2	-1.0	0.0	0.002936857562408223	0.0	1.0	-inf	0.30445100224307287
pai	0	81	81	-1.0	0.0	0.11894273127753303	19.714725278802586	8.990592300969307e-06	-inf	0.30445100224307314
nilo	0	10	10	-1.0	0.0	0.014684287812041116	1.2921822405046905	0.2556461807086502	-inf	0.30445100224307314
humor	0	2	2	-1.0	0.0	0.002936857562408223	0.0	1.0	-inf	0.30445100224307287
precisão	0	2	2	-1.0	0.0	0.002936857562408223	0.0	1.0	-inf	0.30445100224307287
costume	0	2	2	-1.0	0.0	0.002936857562408223	0.0	1.0	-inf	0.30445100224307287
dizer	0	5	5	-1.0	0.0	0.007342143906020558	0.26593541690818434	0.6060714542353747	-inf	0.30445100224307314
ariano	0	2	2	-1.0	0.0	0.002936857562408223	0.0	1.0	-inf	0.30445100224307287
flor	0	6	6	-1.0	0.0	0.00881057268722467	0.44840874464360553	0.5030915863515149	-inf	0.30445100224307314
vida	0	6	6	-1.0	0.0	0.00881057268722467	0.44840874464360553	0.5030915863515149	-inf	0.30445100224307314
mão	0	5	5	-1.0	0.0	0.007342143906020558	0.26593541690818434	0.6060714542353747	-inf	0.30445100224307314
cirurgia	0	2	2	-1.0	0.0	0.002936857562408223	0.0	1.0	-inf	0.30445100224307287
poeta	0	11	11	-1.0	0.0	0.016152716593245228	1.516853226130393	0.2180963157133286	-inf	0.30445100224307287
tomás	0	9	9	-1.0	0.0	0.013215859030837005	1.0713651757765925	0.30063728844183724	-inf	0.30445100224307287
machado	0	4	4	-1.0	0.0	0.005873715124816446	0.1110740227854269	0.738924673793631	-inf	0.30445100224307287
