word	female	male	total	skewness	pct_f	pct_m	chi2	p	pmi_f	pmi_m
macho	0	2	2	-1.0	0.0	0.002936857562408223	0.0	1.0	-inf	0.30445100224307287
companheiro	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
justa	0	5	5	-1.0	0.0	0.007342143906020558	0.26593541690818434	0.6060714542353747	-inf	0.30445100224307314
amiga	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
conhecido	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
americano	0	3	3	-1.0	0.0	0.004405286343612335	0.010869199479975274	0.9169666285568563	-inf	0.30445100224307314
adolescente	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
irmão	0	8	8	-1.0	0.0	0.011747430249632892	0.8556293528562307	0.3549646835490331	-inf	0.30445100224307287
exigente	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
urubu	0	2	2	-1.0	0.0	0.002936857562408223	0.0	1.0	-inf	0.30445100224307287
soldado	0	2	2	-1.0	0.0	0.002936857562408223	0.0	1.0	-inf	0.30445100224307287
noivo	0	2	2	-1.0	0.0	0.002936857562408223	0.0	1.0	-inf	0.30445100224307287
colega	0	2	2	-1.0	0.0	0.002936857562408223	0.0	1.0	-inf	0.30445100224307287
pecado	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
estreante	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
contemporâneo	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
riso	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
velhos	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
antepassado	0	2	2	-1.0	0.0	0.002936857562408223	0.0	1.0	-inf	0.30445100224307287
colombina	0	4	4	-1.0	0.0	0.005873715124816446	0.1110740227854269	0.738924673793631	-inf	0.30445100224307287
devaneio	0	2	2	-1.0	0.0	0.002936857562408223	0.0	1.0	-inf	0.30445100224307287
certo	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
palhaço	0	14	14	-1.0	0.0	0.020558002936857563	2.206985479710305	0.1373869040898333	-inf	0.30445100224307287
presente	0	2	2	-1.0	0.0	0.002936857562408223	0.0	1.0	-inf	0.30445100224307287
melhor	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
