title	author	publication_year	author_gender	century	id	number_of_sentences	number_of_words
Memorial de Aires	Machado de Assis	1908.0	Male	1900	16951	3004.0	58970.0
Memorial de um Passageiro de Bonde	Amadeu Amaral	1912.0	Male	1900	16544	2358.0	49836.0
Memorial de um passageiro de bonde	Amadeu Amaral	1912.0	Male	1900	7377	2440.0	50155.0
Memórias Póstumas de Brás Cubas	Machado de Assis	1881.0	Male	1800	16953	3430.0	72503.0
Memórias da Rua do Ouvidor	Joaquim Manuel de Macedo	1877.0	Male	1800	7544	2028.0	67899.0
Memórias de um Sargento de Milícias	Manuel Antônio de Almeida	1882.0	Male	1800	16987	2408.0	68205.0
Memórias e Cotidiano do Rio de Janeiro no Tempo do Rei: trechos selecionados das cartas de Luís Joaquim dos Santos Marrocos	Luís Joaquim dos Santos Marrocos	1985.0	Male	1900	2056	386.0	16006.0
Menina e Moça	Bernardim Ribeiro	1554.0	Male	1500	16109	1128.0	38730.0
Mensagem	Fernando Pessoa	1934.0	Male	1900	15726	269.0	4746.0
Metafísica das Rosas	Machado de Assis	1888.0	Male	1800	17435	55.0	1263.0
Meus oito anos	Casimiro de Abreu	1860.0	Male	1800	86500	24.0	311.0
Micrômegas	François-Marie Arouet (Voltaire)	1752.0	Male	1700	2275	333.0	8446.0
Milagre do Natal	Afonso Henriques de Lima Barreto	1920.0	Male	1900	16821	126.0	2325.0
Miloca	Machado de Assis	1897.0	Male	1800	17907	521.0	8452.0
Mimo de Anos	Auta de Sousa	1882.0	Female	1800	81791	11.0	192.0
Minh'alma é triste	Casimiro de Abreu	1860.0	Male	1800	86445	34.0	660.0
Minha formação	Joaquim Nabuco	1900.0	Male	1900	16672	1977.0	75546.0
Minha mãe	Casimiro de Abreu	1860.0	Male	1800	86447	15.0	225.0
Minh’Alma e o Verso	Auta de Sousa	1888.0	Female	1800	81863	25.0	428.0
Miss Dollar	Machado de Assis	1891.0	Male	1800	1879	466.0	9253.0
Missa do Galo	Machado de Assis	1899.0	Male	1800	1931	193.0	3095.0
Missal	João da Cruz e Sousa	1893.0	Male	1800	16615	551.0	26387.0
Mocidade	Casimiro de Abreu	1860.0	Male	1800	86448	31.0	384.0
Mocidade e Morte	Alexandre Herculano	1871.0	Male	1800	7390	131.0	2585.0
Mocidade e morte	Antônio Frederico de Castro Alves	1857.0	Male	1800	86840	39.0	564.0
Mocidade morta	Luis Gonzaga Duque Estrada	1901.0	Male	1900	38020	4762.0	99653.0
Momento literário	João do Rio	1907.0	Male	1900	2144	3228.0	74930.0
Moreninha	Casimiro de Abreu	1860.0	Male	1800	86449	27.0	594.0
Morta que Mata	Artur Azevedo	1888.0	Male	1800	7473	44.0	742.0
Mortalhas	Emílio de Meneses	1894.0	Male	1800	17335	527.0	8072.0
Motta Coqueiro ou A pena de morte	José do Patrocínio	1876.0	Male	1800	7550	4734.0	107482.0
Mudo e quedo	Antônio Frederico de Castro Alves	1871.0	Male	1800	86636	28.0	426.0
Muitos anos depois	Machado de Assis	1899.0	Male	1800	17437	482.0	7430.0
Mulheres: história e direitos	Jeferson Francisco Selbach	2015.0	Male	2000	26678	965.0	23275.0
Munúsciulo Métrico	Cláudio Manuel da Costa (Glauceste Satúrnio)	1751.0	Male	1700	16552	40.0	1180.0
Murmúrios da tarde	Antônio Frederico de Castro Alves	1871.0	Male	1800	86841	35.0	541.0
Máximas, Pensamentos e Reflexões	Marquês de Maricá	1836.0	Male	1800	2049	4279.0	87563.0
Mãe	José de Alencar	1875.0	Male	1800	7546	2735.0	22942.0
Mãe penitente	Antônio Frederico de Castro Alves	1871.0	Male	1800	86637	13.0	217.0
Médico é Remédio	Machado de Assis	1897.0	Male	1800	16950	165.0	2441.0
Médico é remédio	Machado de Assis	1897.0	Male	1800	17429	164.0	2416.0
Na Academia Brasileira de Letras	Machado de Assis	1897.0	Male	1800	7560	151.0	3351.0
