title	author	publication_year	author_gender	century	id	number_of_sentences	number_of_words	corpus
Falando ao Coração	Auta de Sousa	1918.0	Female	1900.0	81771.0	13.0	385.0	PPORTAL
Falas de civilização, e de não dever ser	Alberto Caeiro da Silva	1914.0	Male	1900.0	82181.0	10.0	129.0	PPORTAL
Falenas	Machado de Assis	1870.0	Male	1800.0	2070.0	1332.0	22232.0	PPORTAL
Família composta. (Coleção literatura para todos; v. 7)	Domingos Pellegrini	2007.0	Male	2000.0	50049.0	501.0	9697.0	PPORTAL
Farsa de Inês Pereira	Gil Vicente	1523.0	Male	1500.0	1819.0	546.0	7376.0	PPORTAL
Farsa do Velho da Horta	Gil Vicente	1523.0	Male	1500.0	1820.0	380.0	4525.0	PPORTAL
Farsa ou Auto de Inês Pereira	Gil Vicente	1523.0	Male	1500.0	16650.0	539.0	7330.0	PPORTAL
Faróis	João da Cruz e Sousa	1900.0	Male	1900.0	16614.0	826.0	16582.0	PPORTAL
Fatalidade	Artur Azevedo	1904.0	Male	1900.0	7462.0	69.0	1313.0	PPORTAL
Fefa	Auta de Sousa	1918.0	Female	1900.0	81768.0	14.0	202.0	PPORTAL
Feira dos anexins	Francisco Manuel de Melo	1661.0	Male	1600.0	43207.0	3260.0	52447.0	PPORTAL
Feitos de Mem de Sá	Pe. José de Anchieta	1584.0	Male	1500.0	17394.0	1180.0	30548.0	PPORTAL
Felicidade pelo Casamento	Machado de Assis	1865.0	Male	1800.0	17400.0	675.0	9405.0	PPORTAL
Feliz	Auta de Sousa	1918.0	Female	1900.0	81769.0	11.0	211.0	PPORTAL
Fernando e Fernanda	Machado de Assis	1865.0	Male	1800.0	17403.0	340.0	6499.0	PPORTAL
Ficções do interlúdio: para além do outro oceano de Coelho Pacheco.	Fernando Pessoa	2017.0	Male	2000.0	24203.0	17.0	2553.0	PPORTAL
Filomena Borges	Aluísio Azevedo	1884.0	Male	1800.0	16530.0	4065.0	63430.0	PPORTAL
Filosofia de um par de botas	Machado de Assis	1884.0	Male	1800.0	17407.0	253.0	2536.0	PPORTAL
Flor anônima	Machado de Assis	1884.0	Male	1800.0	17913.0	149.0	2042.0	PPORTAL
Flor de Sangue	Valentim Magalhães	1875.0	Male	1800.0	17461.0	3323.0	71786.0	PPORTAL
Flor de pitanga	William Henrique Stutz	2007.0	Male	2000.0	166653.0	320.0	5570.0	PPORTAL
