title	author	publication_year	author_gender	century
A Filha Maria de Angu	Artur Azevedo	1904.0	Male	1900.0
A Filha de Maria Angu	Artur Azevedo	1904.0	Male	1900.0
A Filosofia do Mendes	Artur Azevedo	1904.0	Male	1900.0
A Harpa do Crente	Alexandre Herculano	1872.0	Male	1800.0
A Herança	Machado de Assis	1896.0	Male	1800.0
A Igreja do Diabo	Machado de Assis	1884.0	Male	1800.0
A Ilha da Maré	Manuel Botelho de Oliveira	1877.0	Male	1800.0
A Ilustre Casa de Ramires	José Maria Eça de Queirós	1900.0	Male	1900.0
A Inglezinha Barcelos	Machado de Assis	1872.0	Male	1800.0
A Intrusa	Júlia Lopes de Almeida	1887.0	Female	1800.0
A J. J. C. Macedo-Júnior	Casimiro de Abreu	1875.0	Male	1800.0
A Jóia	Artur Azevedo	1904.0	Male	1900.0
A Luneta Mágica	Joaquim Manuel de Macedo	1869.0	Male	1800.0
A Luta	Carmen Dolores	1872.0	Female	1800.0
A Luís	Antônio Frederico de Castro Alves	1878.0	Male	1800.0
A Maciel Pinheiro	Antônio Frederico de Castro Alves	1876.0	Male	1800.0
A Maldita Parentela	França Júnior	1877.0	Male	1800.0
A Marcelina	Artur Azevedo	1904.0	Male	1900.0
A Margem	José Leon Machado	1912.0	Male	1900.0
A Marquesa de Santos	Paulo Setúbal	1944.0	Male	1900.0
A Melhor Amiga	Artur Azevedo	1904.0	Male	1900.0
A Melhor Vingança	Artur Azevedo	1904.0	Male	1900.0
A Mensageira das Violetas	Florbela Espanca	1931.0	Female	1900.0
A Metamorfose	Franz Kafka	1915.0	Male	1900.0
A Moreninha	Joaquim Manuel de Macedo	1844.0	Male	1800.0
A Mortalha de Alzira	Aluísio Azevedo	1891.0	Male	1800.0
A Morte de Helena	Auta de Sousa	1918.0	Female	1900.0
A Morte do Lidador	Alexandre Herculano	1846.0	Male	1800.0
A Moça mais Bonita do Rio de Janeiro	Artur Azevedo	1904.0	Male	1900.0
A Mulher de Preto	Machado de Assis	1885.0	Male	1800.0
A Mão e a Luva	Machado de Assis	1874.0	Male	1800.0
A Normalista	Adolfo Caminha	1888.0	Male	1800.0
A Nota de Cem Mil-Réis	Artur Azevedo	1904.0	Male	1900.0
A Nova Califórnia	Afonso Henriques de Lima Barreto	1897.0	Male	1800.0
A Orgia dos Duendes	Bernardo Guimarães	1867.0	Male	1800.0
A Origem do Mênstruo	Bernardo Guimarães	1865.0	Male	1800.0
A Parasita Azul	Machado de Assis	1885.0	Male	1800.0
A Partida	Coelho Neto	1890.0	Male	1800.0
A Pata da Gazela	José de Alencar	1870.0	Male	1800.0
A Pele do Lobo	Artur Azevedo	1904.0	Male	1900.0
A Pianista	Machado de Assis	1887.0	Male	1800.0
A Poesia Interminável	João da Cruz e Sousa	1905.0	Male	1900.0
A Polêmica	Artur Azevedo	1915.0	Male	1900.0
A Princesa de Babilônia	François-Marie Arouet (Voltaire)	1768.0	Male	1700.0
A Princesa dos Cajueiros	Artur Azevedo	1907.0	Male	1900.0
A Relíquia	José Maria Eça de Queirós	1887.0	Male	1800.0
A Retirada da Laguna	Visconde de Taunay	1888.0	Male	1800.0
A Ritinha	Artur Azevedo	1886.0	Male	1800.0
A Segunda Vida	Machado de Assis	1884.0	Male	1800.0
A Semana	Machado de Assis	1901.0	Male	1900.0
A Semana Santa	Alexandre Herculano	1870.0	Male	1800.0
A Senhora do Galvão	Machado de Assis	1878.0	Male	1800.0
A Sereníssima República	Machado de Assis	1876.0	Male	1800.0
A Tempestade	Alexandre Herculano	1875.0	Male	1800.0
A Vida Eterna	Machado de Assis	1883.0	Male	1800.0
A Vitória e a Piedade	Alexandre Herculano	1871.0	Male	1800.0
A Viuvinha	José de Alencar	1860.0	Male	1800.0
A Viúva do Estanislau	Artur Azevedo	1904.0	Male	1900.0
A Voz	Alexandre Herculano	1871.0	Male	1800.0
A bico de pena: fantasias, contos e ferfis (coleção revivendo, nº 4)	Coelho Neto	1919.0	Male	1900.0
A boa vista	Antônio Frederico de Castro Alves	1876.0	Male	1800.0
A cachoeira	Antônio Frederico de Castro Alves	1876.0	Male	1800.0
A cachoeira de Paulo Afonso	Antônio Frederico de Castro Alves	1876.0	Male	1800.0
A campanha da Cordilheira: diário do exército, volume 1	Visconde de Taunay	1876.0	Male	1800.0
A canoa fantástica	Antônio Frederico de Castro Alves	1876.0	Male	1800.0
A chave	Machado de Assis	1886.0	Male	1800.0
A criação fantástica do humano e o conhecimento de mundo: contextos para o estudo da obra frankenstein de Mary Shelley	Ana Claudia Brida	2015.0	Female	2000.0
A declamação trágica	José Basílio da Gama	1769.0	Male	1700.0
A descoberta da Índia	Coelho Neto	1900.0	Male	1900.0
A divina quimera	Eduardo Guimaraens	1901.0	Male	1900.0
A epifania em Clarice Lispector	Achilles Cleto Cabral da Luz	2012.0	Male	2000.0
A esfinge sem segredo	Oscar Wilde	1893.0	Male	1800.0
A espantosa realidade das cousas	Alberto Caeiro da Silva	1914.0	Male	1900.0
A evolução feminista e o comportamento da mulher entre as décadas de 60 e 80 nas obras de Nelson Rodrigues e Ignácio de Loyola Brandão	Andressa Aparecida Evangelista	2018.0	Female	2000.0
A falência	Júlia Lopes de Almeida	1901.0	Female	1900.0
A garganta do diabo	Edio Riedi	2014.0	Male	2000.0
A guerra que aflige com seus esquadrões	Alberto Caeiro da Silva	1914.0	Male	1900.0
A história de Seny - A caminhada	Sylvia Senny	2017.0	Female	2000.0
A idéia do Ezequiel Maia	Machado de Assis	1865.0	Male	1800.0
A intertextualidade entre as obras de "Romeu e Julieta", de Shakespeare, e "Inocência" de Visconde de Taunay	Priscila Fernandes De Moraes Soraggi	2016.0	Female	2000.0
A intrusa	Júlia Lopes de Almeida	1888.0	Female	1800.0
A judia	Manuel Joaquim Pinheiro Chagas	1886.0	Male	1800.0
A lotação do bondes	França Júnior	1879.0	Male	1800.0
A medida das saudades	Geraldo Pereira	1922.0	Male	1900.0
A melhor das noivas	Machado de Assis	1895.0	Male	1800.0
A morgadinha dos canaviais: crônicas da aldeia	Júlio Dinis	1871.0	Male	1800.0
A mulher Pálida	Machado de Assis	1888.0	Male	1800.0
A mulher de Anacleto	Afonso Henriques de Lima Barreto	1903.0	Male	1900.0
A mágoa do Infeliz Cosme	Machado de Assis	1895.0	Male	1800.0
A presença da morte e do luto em exílio de Lya Luft	Rafael Rodrigues Gomes	2012.0	Male	2000.0
A reação do bom senso	Jackson de Figueiredo	1920.0	Male	1900.0
A tarde	Antônio Frederico de Castro Alves	1871.0	Male	1800.0
A teia do contar na Nhecolândia - a personagem lendária Mãozão	Áurea Rita de Ávila Lima Ferreira	2018.0	Female	2000.0
A tia Aninha	Artur Azevedo	1904.0	Male	1900.0
A uma atriz	Antônio Frederico de Castro Alves	1871.0	Male	1800.0
A uma estrangeira	Antônio Frederico de Castro Alves	1871.0	Male	1800.0
A uma taça feita de um crânio humano	Antônio Frederico de Castro Alves	1871.0	Male	1800.0
A valsa	Casimiro de Abreu	1856.0	Male	1800.0
A viúva Simões	Júlia Lopes de Almeida	1879.0	Female	1800.0
A viúva Sobral	Machado de Assis	1897.0	Male	1800.0
A volta da primavera	Antônio Frederico de Castro Alves	1870.0	Male	1800.0
A voz do rio	Casimiro de Abreu	1856.0	Male	1800.0
A última receita	Machado de Assis	1889.0	Male	1800.0
A***	Casimiro de Abreu	1868.0	Male	1800.0
Abel e Helena	Artur Azevedo	1888.0	Male	1800.0
Abgar Renault. Antologia de sonetos	Salomão Rovedo	2007.0	Male	2000.0
Abrãao e as frutas. (Coleção literatura para todos; v. 9)	Luciana V. P. de Mendonça	2007.0	Female	2000.0
Acho tão natural que não se pense	Alberto Caeiro da Silva	1914.0	Male	1900.0
Acima do dó central	Abdul Cadre	2014.0	Male	2000.0
Acordar e despertar: pequenos toques para acordar ao lado da felicidade	Priscila Lima Rovedo	2017.0	Female	2000.0
Actores e autores	Fialho de Almeida	1888.0	Male	1800.0
Adeus	Antônio Frederico de Castro Alves	1867.0	Male	1800.0
Adormecida	Antônio Frederico de Castro Alves	1871.0	Male	1800.0
Advertência	Mário de Alencar	1925.0	Male	1900.0
Adão e Eva	Machado de Assis	1905.0	Male	1900.0
Agonia do Coração	Auta de Sousa	1918.0	Female	1900.0
Ahasverus e o gênio	Antônio Frederico de Castro Alves	1871.0	Male	1800.0
Ai flores, ai flores do verde pino	Dom Dinis	1300.0	Male	1300.0
Alfarrábios: o Ermitão da Glória	José de Alencar	1875.0	Male	1800.0
Alfarrábios: o Garatuja	José de Alencar	1873.0	Male	1800.0
Alma Cabocla	Paulo Setúbal	1917.0	Male	1900.0
Alma inquieta	Olavo Bilac	1908.0	Male	1900.0
Almas Agradecidas	Machado de Assis	1863.0	Male	1800.0
Almejos da angelitude - pensamentos	Valdecir de Oliveira Anselmo	2014.0	Male	2000.0
Alves & Cia.	José Maria Eça de Queirós	1887.0	Male	1800.0
Amad'e meu amigo	Dom Dinis	1300.0	Male	1300.0
Amante	Antônio Frederico de Castro Alves	1871.0	Male	1800.0
Amaricanto	Salomão Rovedo	2007.0	Male	2000.0
Americanas	Machado de Assis	1905.0	Male	1900.0
Amigo, queredes-vos ir?	Dom Dinis	1300.0	Male	1300.0
Amor com amor se paga	França Júnior	1874.0	Male	1800.0
Amor de Perdição	Camilo Castelo Branco	1862.0	Male	1800.0
Amor de Salvação	Camilo Castelo Branco	1864.0	Male	1800.0
Amor e Pátria	Joaquim Manuel de Macedo	1875.0	Male	1800.0
Amor por Anexins	Artur Azevedo	1904.0	Male	1900.0
Anedota Pecuniária	Machado de Assis	1884.0	Male	1800.0
Anedota do Cabriolet	Machado de Assis	1884.0	Male	1800.0
Angelica e Firmino	Manuel José Araújo Porto-Alegre	1850.0	Male	1800.0
Angelina	Auta de Sousa	1918.0	Female	1900.0
Angelitude	Valdecir de Oliveira Anselmo	2014.0	Male	2000.0
Antes da Missa	Machado de Assis	1884.0	Male	1800.0
Antes da Rocha Tapéia	Machado de Assis	1884.0	Male	1800.0
Antes que Cases	Machado de Assis	1884.0	Male	1800.0
Antologia	Antero de Quental	1892.0	Male	1800.0
Antonica da Silva	Joaquim Manuel de Macedo	1875.0	Male	1800.0
Antônio Rodrigues, soldado, viajante e jesuíta português na América do Sul no século XVI	Antônio Rodrigues	1576.0	Male	1500.0
Ao Cair da Noite	Auta de Sousa	1918.0	Female	1900.0
Ao Clarão da Lua	Auta de Sousa	1918.0	Female	1900.0
Ao Correr da Pena	José de Alencar	1876.0	Male	1800.0
Ao Entardecer (contos vários)	Visconde de Taunay	1876.0	Male	1800.0
Ao Luar	Auta de Sousa	1918.0	Female	1900.0
Ao Meu Bom Anjo	Auta de Sousa	1918.0	Female	1900.0
Ao Pé de um Berço	Auta de Sousa	1918.0	Female	1900.0
Ao Senhor do Bomfim	Auta de Sousa	1918.0	Female	1900.0
Ao ator Joaquim Augusto	Antônio Frederico de Castro Alves	1871.0	Male	1800.0
Ao dous de julho	Antônio Frederico de Castro Alves	1871.0	Male	1800.0
Aos Vinte Anos	Aluísio Azevedo	1885.0	Male	1800.0
Apaixonada por Beethoven	Salomão Rovedo	2007.0	Male	2000.0
Apologos: contos para criança	Coelho Neto	1898.0	Male	1800.0
Aproximações. Ensaios sobre literatura	Sônia Régis	2007.0	Female	2000.0
Arras por Foro de Espanha (1371-1372)	Alexandre Herculano	1843.0	Male	1800.0
As Academias de Sião	Machado de Assis	1884.0	Male	1800.0
As Asas de um Anjo (Comédia)	José de Alencar	1856.0	Male	1800.0
As Asas de um Anjo (Peça)	José de Alencar	1856.0	Male	1800.0
As Asneiras do Guedes	Artur Azevedo	1904.0	Male	1900.0
As Bodas de Luís Duarte	Machado de Assis	1861.0	Male	1800.0
As Cartas de Amabed	François-Marie Arouet (Voltaire)	1769.0	Male	1700.0
As Casadas Solteiras	Luís Carlos Martins Pena	1845.0	Male	1800.0
As Cerejas	Artur Azevedo	1904.0	Male	1900.0
As Doutoras	França Júnior	1879.0	Male	1800.0
As Farpas (Fevereiro a Maio 1878)	José Maria Eça de Queirós	1878.0	Male	1800.0
As Farpas (Janeiro 1878)	Ramalho Ortigão	1878.0	Male	1800.0
As Farpas (Janeiro 1878)	José Maria Eça de Queirós	1878.0	Male	1800.0
As Farpas (Janeiro a Fevereiro 1873)	José Maria Eça de Queirós	1873.0	Male	1800.0
As Farpas (Junho 1883)	José Maria Eça de Queirós	1883.0	Male	1800.0
As Farpas (Junho a Julho 1882)	José Maria Eça de Queirós	1882.0	Male	1800.0
As Farpas (Março a Abril 1873)	José Maria Eça de Queirós	1873.0	Male	1800.0
As Farpas (Novembro a Dezembro 1882)	José Maria Eça de Queirós	1882.0	Male	1800.0
As Farpas (Outubro a Novembro 1873)	José Maria Eça de Queirós	1873.0	Male	1800.0
As Forças Caudinas	Machado de Assis	1884.0	Male	1800.0
As Maluquices do Imperador	Paulo Setúbal	1944.0	Male	1900.0
As Mulheres de Mantilha	Joaquim Manuel de Macedo	1875.0	Male	1800.0
As Paradas	Artur Azevedo	1904.0	Male	1900.0
As Primaveras	Casimiro de Abreu	1859.0	Male	1800.0
As Pupilas do Senhor Reitor	Júlio Dinis	1867.0	Male	1800.0
Assim!	Casimiro de Abreu	1855.0	Male	1800.0
Assombramento	Afonso Arinos	1898.0	Male	1800.0
Assunto para um Conto	Artur Azevedo	1904.0	Male	1900.0
Astúcias de Marido	Machado de Assis	1865.0	Male	1800.0
Astúcias de namorada	M. Pinheiro Chagas	1871.0	Male	1800.0
Atir: cartas, contos e crônicas	Rilvan Batista de Santana	2017.0	Male	2000.0
Aurora sem Dia	Machado de Assis	1873.0	Male	1800.0
Auto Representado na Festa de São Lourenço	Pe. José de Anchieta	1584.0	Male	1500.0
Auto da Alma	Gil Vicente	1518.0	Male	1500.0
Auto da Barca do Inferno	Gil Vicente	1517.0	Male	1500.0
Auto da Feira	Gil Vicente	1527.0	Male	1500.0
Auto da Festa de São Lourenço	Pe. José de Anchieta	1584.0	Male	1500.0
Auto da Índia	Gil Vicente	1509.0	Male	1500.0
Auto de Mofina Mendes	Gil Vicente	1515.0	Male	1500.0
Aventuras de Diófanes	Teresa Margarida da Silva e Orta	1752.0	Female	1700.0
Aves da arribação	Antônio Frederico de Castro Alves	1871.0	Male	1800.0
Ayres e Vergueiro	Machado de Assis	1865.0	Male	1800.0
Balas de Estalo	Machado de Assis	1884.0	Male	1800.0
Balladilhas	Coelho Neto	1898.0	Male	1800.0
Banhos de Mar	Artur Azevedo	1904.0	Male	1900.0
Barca	Artur Azevedo	1904.0	Male	1900.0
Bela-Menina	Adolfo Coelho	1875.0	Male	1800.0
Bluesia	Salomão Rovedo	2007.0	Male	2000.0
Boa-noite	Antônio Frederico de Castro Alves	1871.0	Male	1800.0
Bohemias	Auta de Sousa	1918.0	Female	1900.0
Bom Crioulo	Adolfo Caminha	1895.0	Male	1800.0
Bombeiro civil no Brasil	Aparecido da Cruz	2009.0	Male	2000.0
Bons Dias	Machado de Assis	1884.0	Male	1800.0
Borboleta	Casimiro de Abreu	1855.0	Male	1800.0
Brincar com fogo	Machado de Assis	1865.0	Male	1800.0
Broquéis	João da Cruz e Sousa	1893.0	Male	1800.0
As Religiões no Rio	João do Rio	1905.0	Male	1900.0
As Vítimas-Algozes	Joaquim Manuel de Macedo	1875.0	Male	1800.0
As doutoras	França Júnior	1879.0	Male	1800.0
As duas ilhas	Antônio Frederico de Castro Alves	1876.0	Male	1800.0
As fabulas de Esopo	Joseph Shafan	1780.0	Male	1700.0
As jóias da Coroa	Raul Pompéia	1882.0	Male	1800.0
As sete dores de Nossa Senhora	Coelho Neto	1899.0	Male	1800.0
As viagens	Olavo Bilac	1908.0	Male	1900.0
As visões de Santa Thereza	Francisco Mangabeira	1875.0	Male	1800.0
Brás, Bexiga e Barra Funda	Antônio de Alcântara Machado	1927.0	Male	1900.0
Bálsamo	Casimiro de Abreu	1855.0	Male	1800.0
Cabelos molhados. (Coleção literatura para todos; v. 10)	Luís Pimentel	2007.0	Male	2000.0
Cachoeira em crônicas: cotidiano	Jeferson Francisco Selbach	2017.0	Male	2000.0
Café com Cuca	Ismar Imhof	2017.0	Male	2000.0
Caiu o Ministério	França Júnior	1879.0	Male	1800.0
Camafeus Romanos	Eugénio de Castro	1905.0	Male	1900.0
Campanha Abolicionista	José Carlos do Patrocínio	1883.0	Male	1800.0
Camões	Joaquim Nabuco	1880.0	Male	1800.0
Cancioneiro	Fernando Pessoa	1956.0	Male	1900.0
Cantata à morte de Inês de Castro	Manuel Maria de Barbosa du Bocage	1799.0	Male	1700.0
Cantiga de Esponsais	Machado de Assis	1884.0	Male	1800.0
Cantiga velha	Machado de Assis	1884.0	Male	1800.0
Canto da Solidão	Bernardo Guimarães	1865.0	Male	1800.0
Canto de amor	Casimiro de Abreu	1855.0	Male	1800.0
Canção do Tamoio	Antônio Gonçalves Dias	1856.0	Male	1800.0
Canção do boêmio	Antônio Frederico de Castro Alves	1871.0	Male	1800.0
Canção do exílio	Casimiro de Abreu	1855.0	Male	1800.0
Canções e Elegias	Luís Vaz de Camões	1595.0	Male	1500.0
Capítulo dos Chapéus	Machado de Assis	1884.0	Male	1800.0
Capítulos de História Colonial	João Capistrano de Abreu	1907.0	Male	1900.0
Capítulos de História Colonial (1500-1800)	João Capistrano de Abreu	1907.0	Male	1900.0
Caramuru	José de Santa Rita Durão	1781.0	Male	1700.0
Caramuru: poema épico do descobrimento da Bahia	José de Santa Rita Durão	1781.0	Male	1700.0
Caravela: redescobrimentos. (Coleção literatura para todos; v.4)	Gabriel Bicalho	2007.0	Male	2000.0
Carne Frita	Gustavo Villas Boas Farias	2017.0	Male	2000.0
Carolina	Casimiro de Abreu	1855.0	Male	1800.0
Carrilhões	Murilo Araújo	2017.0	Male	2000.0
Carta de um Defunto Rico	Afonso Henriques de Lima Barreto	1919.0	Male	1900.0
Cartas Chilenas	Tomáz Antônio Gonzaga	1788.0	Male	1700.0
Cartas D'Amor	José Maria Eça de Queirós	1869.0	Male	1800.0
Cartas D'Amor - O Efêmero Feminino	José Maria Eça de Queirós	1869.0	Male	1800.0
Cartas Familiares e Bilhetes de Paris	José Maria Eça de Queirós	1869.0	Male	1800.0
Cartas de Inglaterra	José Maria Eça de Queirós	1870.0	Male	1800.0
Cartas de Olinda e Alzira	Manuel Maria de Barbosa du Bocage	1799.0	Male	1700.0
Casa Velha	Machado de Assis	1885.0	Male	1800.0
Casa de Pensão	Aluísio Azevedo	1884.0	Male	1800.0
Casa velha	Machado de Assis	1885.0	Male	1800.0
Casa, não casa	Machado de Assis	1884.0	Male	1800.0
Casada e viúva	Machado de Assis	1865.0	Male	1800.0
Caso da Vara	Machado de Assis	1884.0	Male	1800.0
Cavação	Artur Azevedo	1904.0	Male	1900.0
Cena íntima	Casimiro de Abreu	1855.0	Male	1800.0
Certa Entidade em Busca de Outra	Qorpo Santo	1866.0	Male	1800.0
Cervantes, Dom Quixote e outras e-crônicas do nosso tempo	Salomão Rovedo	2007.0	Male	2000.0
Chapada das Mulatas: postagens de um blogueiro	Jeferson Francisco Selbach	2017.0	Male	2000.0
Chapéus de palha, panamás, plumas, cartolas	Sylvia Helena Telarolli de Almeida Leite	2017.0	Female	2000.0
Charneca em flor	Florbela Espanca	1931.0	Female	1900.0
Chico	Artur Azevedo	1904.0	Male	1900.0
Chico Science: a rapsódia afrociberdélica	Moisés Neto	2017.0	Male	2000.0
Chorando	Auta de Sousa	1918.0	Female	1900.0
Cinco Minutos	José de Alencar	1856.0	Male	1800.0
Cinco Mulheres	Machado de Assis	1865.0	Male	1800.0
Cinco minutos	José de Alencar	1856.0	Male	1800.0
Ciúme	Auta de Sousa	1918.0	Female	1900.0
Clara	Casimiro de Abreu	1855.0	Male	1800.0
Clara dos Anjos	Afonso Henriques de Lima Barreto	1922.0	Male	1900.0
Clepsidra	Camilo Pessanha	1920.0	Male	1900.0
Cobras em compota. (Coleção literatura para todos; v.2)	Índigo	2007.0	Male	2000.0
Coisas que Só Eu Sei	Camilo Castelo Branco	1866.0	Male	1800.0
Comadre Morte	Adolfo Coelho	1875.0	Male	1800.0
Comes e Bebes	Artur Azevedo	1904.0	Male	1900.0
Como e por que sou Romancista	José de Alencar	1873.0	Male	1800.0
Como o Diabo as Arma!	Artur Azevedo	1904.0	Male	1900.0
Como se fazia um Deputado	França Júnior	1879.0	Male	1800.0
Como se inventaram os almanaques	Machado de Assis	1884.0	Male	1800.0
Confissões de uma Viúva	Machado de Assis	1865.0	Male	1800.0
Confissões de uma Viúva Moça	Machado de Assis	1865.0	Male	1800.0
Conjugo Vobis	Artur Azevedo	1904.0	Male	1900.0
Consolo Supremo	Auta de Sousa	1918.0	Female	1900.0
Construção da figura religiosa no romance de cavalaria	Marcia Maria de Medeiros	2012.0	Female	2000.0
Conto Alexandrino	Machado de Assis	1884.0	Male	1800.0
Conto de Escola	Machado de Assis	1884.0	Male	1800.0
Contos	José Maria Eça de Queirós	1902.0	Male	1900.0
Contos Fluminenses	Machado de Assis	1870.0	Male	1800.0
Contos Fora da Moda	Artur Azevedo	1904.0	Male	1900.0
Contos Fora de Moda	Artur Azevedo	1904.0	Male	1900.0
Contos Gauchescos	João Simões Lopes Neto	1912.0	Male	1900.0
Contos avulsos	Antônio de Alcântara Machado	1926.0	Male	1900.0
Contos de Lima Barreto	Afonso Henriques de Lima Barreto	1920.0	Male	1900.0
Contos para Velhos	Olavo Bilac	1901.0	Male	1900.0
Contos, cartas, frases e poemas	Djalma de Freitas Pinheiro	2017.0	Male	2000.0
Contrastes e Confrontos	Euclides da Cunha	1907.0	Male	1900.0
Conversa pra boi dormir: um pouco de castelo na minha lembrança	José Antônio Caliman	2017.0	Male	2000.0
Conversão de um avaro	Machado de Assis	1884.0	Male	1800.0
Coração, Cabeça e Estômago	Camilo Castelo Branco	1862.0	Male	1800.0
Correspondência	Emílio de Meneses	1900.0	Male	1900.0
Correspondência de Machado de Assis	Machado de Assis	1860.0	Male	1800.0
Coup D'Étrier	Antônio Frederico de Castro Alves	1871.0	Male	1800.0
Crianças	Auta de Sousa	1918.0	Female	1900.0
Crisfal	Cristóvão Falcão	1554.0	Male	1500.0
Crisálidas	Machado de Assis	1864.0	Male	1800.0
Críticas Teatrais	Machado de Assis	1860.0	Male	1800.0
Crônica do Viver Baiano Seiscentista - A Nossa Sé da Bahia	Gregório de Matos	1682.0	Male	1600.0
Crônica do Viver Baiano Seiscentista - O Burgo	Gregório de Matos	1682.0	Male	1600.0
Crônica do Viver Baiano Seiscentista - Os Homens Bons	Gregório de Matos	1682.0	Male	1600.0
Crônica do viver Baiano Seiscentista - a cidade e seus pícaros - Betica	Gregório de Matos	1682.0	Male	1600.0
Crônica do viver Baiano Seiscentista - a cidade e seus pícaros - alguns passos discretos e tristes	Gregório de Matos	1682.0	Male	1600.0
Crônica do viver baiano seiscentista - a cidade e seus pícaros - Antônia	Gregório de Matos	1682.0	Male	1600.0
Crônica do viver baiano seiscentista - a cidade e seus pícaros - Bárbora ou Babu	Gregório de Matos	1682.0	Male	1600.0
Crônica do viver baiano seiscentista - a cidade e seus pícaros - Cota	Gregório de Matos	1682.0	Male	1600.0
Crônica do viver baiano seiscentista - a cidade e seus pícaros - Custódia	Gregório de Matos	1682.0	Male	1600.0
Crônica do viver baiano seiscentista - a cidade e seus pícaros - Joana	Gregório de Matos	1682.0	Male	1600.0
Crônica do viver baiano seiscentista - a cidade e seus pícaros - Letrados	Gregório de Matos	1682.0	Male	1600.0
Crônica do viver baiano seiscentista - a cidade e seus pícaros - Mariana, apelidada a rola	Gregório de Matos	1682.0	Male	1600.0
Crônica do viver baiano seiscentista - a cidade e seus pícaros - Pança farta e pé dormente	Gregório de Matos	1682.0	Male	1600.0
Crônica do viver baiano seiscentista - a cidade e seus pícaros - a freira:ralo, roda e grade	Gregório de Matos	1682.0	Male	1600.0
Crônica do viver baiano seiscentista - a cidade e seus pícaros - andanças de uma viola de cabaça	Gregório de Matos	1682.0	Male	1600.0
Crônica do viver baiano seiscentista - a cidade e seus pícaros - briga, briga	Gregório de Matos	1682.0	Male	1600.0
Crônica do viver baiano seiscentista - cidade e seus pícaros - Adãos de Massapê	Gregório de Matos	1682.0	Male	1600.0
Crônica do viver baiano seiscentista - cidade e seus pícaros - Brites	Gregório de Matos	1682.0	Male	1600.0
Crônica do viver baiano seiscentista - cidade e seus pícaros - Maria João	Gregório de Matos	1682.0	Male	1600.0
Crônica do viver baiano seiscentista - cidade e seus pícaros - Teresa	Gregório de Matos	1682.0	Male	1600.0
Crônica do viver baiano seiscentista - cidade e seus pícaros - opúsculo de Pedro Alz. da Neyva	Gregório de Matos	1682.0	Male	1600.0
Crônica do viver baiano seiscentista - cidade e seus pícaros - Ângela	Gregório de Matos	1682.0	Male	1600.0
Crônica do viver baiano seiscentista - os homens bons - a nossa sé da Bahia	Gregório de Matos	1682.0	Male	1600.0
Crônica do viver baiano seiscentista - os homens bons - espada e espadilha	Gregório de Matos	1682.0	Male	1600.0
Crônica do viver baiano seiscentista - os homens bons - juízes do Iguaraçu	Gregório de Matos	1682.0	Male	1600.0
