corpus-id	filename	xmlid	author-name	title	author-birth	author-death	author-gender	author-ids	reference-year	first-edition	digital-edition	print-edition	provenance	title-ids	language	numwords	subgenre	narrative-perspective	size-category	reprint-count	time-slot
ELTeC-por	POR0095_AlfMes_Rua	POR0095	Mesquita, Alfredo de	A rua do oiro	1871	1931	M	viaf:75465963	1905	1905	NA	NA	NA	NA	pt-pt	55904	NA	NA	medium	low	T4
ELTeC-por	POR0037_AntCamJ_Namorados	POR0037	Campos Junior, António	A Ala dos Namorados	1850	1917	M	viaf:51255962	1905	1905	NA	NA	NA	NA	pt-pt	235443	NA	NA	long	unspecified	T4
ELTeC-por	POR0013_RauBra_Pobres	POR0013	Brandão, Raul	Os pobres	1867	1930	M	viaf:17219789	1906	1906	2007	NA	NA	NA	pt-pt	40117	NA	NA	short	high	T4
ELTeC-por	POR0014_FauFon_Mindelo	POR0014	Fonseca, Faustino da	Os Bravos do Mindelo	1871	1918	M	viaf:86910399	1906	1906	NA	NA	NA	NA	pt-pt	49385	NA	NA	short	low	T4
ELTeC-por	POR0097_FraBLob_Gil	POR0097	NA	O Tio João Gil	NA	NA	M	viaf:99349874	1906	1906	NA	NA	NA	NA	pt-pt	125845	NA	NA	long	low	T4
ELTeC-por	POR0075_ForCPin_Agitador	POR0075	NA	O agitador	NA	NA	M	viaf:99791256	1906	1906	NA	NA	Biblioteca Nacional de Portugal	NA	pt-pt	73750	NA	NA	medium	low	T4
ELTeC-por	POR0087_MarMes_Impostores	POR0087	Mesquita, Marcelino	Os quatro reis impostores	1856	1919	M	viaf:62652518	1908	1908	NA	NA	NA	NA	pt-pt	129113	NA	NA	long	low	T4
ELTeC-por	POR0083_AliPes_Prejuizo	POR0083	Pestana, Alice	A vida por um prejuízo	1860	1929	F	viaf:23763399	1908	1908	NA	NA	NA	NA	pt-pt	13392	NA	NA	short	low	T4
ELTeC-por	POR0078_EduNor_Agonizar	POR0078	Noronha, Eduardo de	O agonizar de uma dinastia	1859	1948	M	viaf:89396752	1908	1908	NA	NA	NA	NA	pt-pt	70630	NA	NA	medium	low	T4
ELTeC-por	POR0062_AnaCO_Diario	POR0062	Castro Osório, Ana de	Diário de uma criança	1872	1935	F	viaf:68982250	1908	1908	NA	NA	NA	NA	pt-pt	18320	NA	NA	short	low	T4
ELTeC-por	POR0018_AntAlb_Bacalhoa	POR0018	Albuquerque, António de	O Marquês da Bacalhoa	1866	1923	M	NA	1908	1908	NA	NA	NA	NA	pt-pt	56493	NA	NA	medium	low	T4
ELTeC-por	POR0002_AnaCO_Sacrificada	POR0002	Castro Osório, Ana de	Sacrificada	1872	1935	F	viaf:68982250	1908	1908	NA	NA	NA	NA	pt-pt	17416	NA	NA	short	low	T4
ELTeC-por	POR0086_MBenPin_Marina	POR0086	Pinho, Maria Benedicta Mousinho de Albuquerque	Marina	1865	1939	F	viaf:99357484	1912	1912	NA	NA	Biblioteca Nacional de Portugal	NA	pt-pt	23596	NA	NA	short	low	T4
ELTeC-por	POR0019_MarSC_Lucio	POR0019	Sá-Carneiro, Mário de	A Confissão de Lúcio	1890	1916	M	viaf:66476723	1914	1914	2012	NA	NA	NA	pt-pt	26021	NA	NA	short	high	T4
ELTeC-por	POR0065_MarONei_Marquesa	POR0065	O'Neil, Maria	A Marquesa de Vale Negro	1873	1932	F	viaf:100194833	1914	1914	NA	NA	NA	NA	pt-pt	44520	NA	NA	short	low	T4
ELTeC-por	POR0066_VirCA_Innocente	POR0066	Castro e Almeida, Virgínia de	Inocente	1874	1945	F	viaf:74000809	1916	1916	2016	NA	Bibliotrónica Portuguesa	NA	pt-pt	12243	NA	NA	short	low	T4
ELTeC-por	POR0041_JoJoGra_Morte	POR0041	Grave, João José	A morte vence	1872	1934	M	viaf:29789361	1916	1916	NA	1922	NA	NA	pt-pt	62972	NA	NA	medium	low	T4
ELTeC-por	POR0020_AbeBot_Crioulo	POR0020	Botelho, Abel	Amor crioulo	1856	1917	M	viaf:37048086	1917	1917	NA	1921	NA	NA	pt-pt	81492	NA	NA	medium	unspecified	T4
ELTeC-por	POR0051_RauBra_Humus	POR0051	Brandão, Raul	Húmus	1867	1930	M	viaf:17219789	1917	1917	2013	NA	NA	NA	pt-pt	65304	NA	NA	medium	high	T4
