word	female	male	unknown	total	skewness	pct_f	pct_m	chi2	p_value	pmi_f	pmi_m	pmi_u	century
tremer	11	27	0	38	-0.0209483841959025	0.0002484359825643	0.0002590673575129	10.62937062937063	0.0011130558960215	0.1713693479249277	0.2132722465175662	0.0	20th
rezar	12	20	0	32	0.1709125635480156	0.0002710210718883	0.0001919017463058	12.41025641025641	0.0004269822349899	0.4302309818412169	0.0850179109938873	0.0	20th
enterrar	7	13	0	20	0.1179481757143481	0.0001580956252681	0.0001247361350988	6.233766233766234	0.0125336883764109	0.3612381103542653	0.1242386241471687	0.0	20th
comparecer	3	11	1	15	-0.2180636157992865	6.775526797208483e-05	0.0001055459604682	0.4648866758241757	0.495348990323728	-0.1983776775811572	0.2448666119357833	-1.0046066902204565	20th
bater	21	84	2	107	-0.2590854802934653	0.0004742868758045	0.0008059873344847	16.552004444896596	4.7333926299094654e-05	-0.2172461618855403	0.3130095046210303	-2.2762381430202074	20th
piscar	1	8	0	9	-0.5453236656807057	2.258508932402828e-05	7.676069852235655e-05	0.0	1.0	-0.7861643424832765	0.4372385045832394	0.0	20th
acender	6	11	0	17	0.1243051978348872	0.0001355105359441	0.0001055459604682	5.05952380952381	0.0244909664082668	0.3696063600247818	0.1197034689817772	0.0	20th
mijar	0	2	0	2	-1.0	0.0	1.9190174630589134e-05	0.0	0.0	0.0	0.555021540239623	0.0	20th
desesperar	0	21	0	21	-1.0	0.0	0.0002014968336211	0.0	0.0	0.0	0.5550215402396229	0.0	20th
notar	19	40	0	59	0.0557412709329665	0.0004291166971565	0.0003838034926117	20.325358851674643	6.5328984420127095e-06	0.2779617701136641	0.1663635504478397	0.0	20th
visitar	29	44	0	73	0.2161105129232715	0.0006549675903968	0.0004221838418729	33.73533745947539	6.314318006689873e-09	0.4878966236910258	0.0487517330094929	0.0	20th
sufocar	0	5	0	5	-1.0	0.0	4.797543657647284e-05	0.0	0.0	0.0	0.555021540239623	0.0	20th
cortar	12	41	0	53	-0.1841870686761924	0.0002710210718883	0.000393398579927	11.370567375886525	0.000746170813121	-0.0743250289111787	0.2983016933918088	0.0	20th
atender	3	18	0	21	-0.4364689279283663	6.775526797208483e-05	0.0001727115716753	1.435897435897436	0.2308043799392705	-0.5348499142023703	0.4008708604123646	0.0	20th
carregar	15	27	0	42	0.1333274611703221	0.0003387763398604	0.0002590673575129	15.907246376811596	6.652353210793324e-05	0.3814408176717846	0.1131887879605836	0.0	20th
chorar	84	64	0	148	0.5109290409699239	0.0018971475032183	0.0006140855881788	114.50718778077268	1.0089984729384971e-26	0.8446647599321415	-0.2833076501648203	0.0	20th
sofrer	18	52	0	70	-0.1020600407240727	0.0004065316078325	0.0004989445403953	18.424408014571952	1.7677903920675486e-05	0.0529367506997487	0.2577700167716914	0.0	20th
telefonar	1	7	0	8	-0.4967150297349568	2.258508932402828e-05	6.716561120706198e-05	0.0	1.0	-0.668381306826893	0.4214901476151004	0.0	20th
receitar	0	5	0	5	-1.0	0.0	4.797543657647284e-05	0.0	0.0	0.0	0.555021540239623	0.0	20th
levantar	47	111	4	162	-0.0016719509365401	0.0010614991982293	0.0010650546919976	43.57477952525903	4.0806426612559146e-11	0.1736115013306175	0.1769554063195729	-1.99785846323074	20th
incomodar	11	22	0	33	0.0812661458495439	0.0002484359825643	0.0002110919209364	10.909090909090908	0.0009569347564412	0.3124479461848332	0.1495564321314584	0.0	20th
recolher	5	22	0	27	-0.3029667053238576	0.0001129254466201	0.0002110919209364	3.5265306122448985	0.0603940375631494	-0.2753387187172859	0.3502271275936096	0.0	20th
cair	37	110	2	149	-0.1162341390299325	0.000835648304989	0.0010554596046824	35.168960405343704	3.0230370787301203e-09	0.0180318415517083	0.2515556000865799	-2.6073556145037604	20th
arrastar	14	37	1	52	-0.0578462927251189	0.0003161912505363	0.0003550182306658	11.768137774507723	0.000602532273073	0.098873845886774	0.2146957343024199	-2.247800207699674	20th
repetir	30	80	0	110	-0.0623144332679538	0.0006775526797208	0.0007676069852235	32.45964912280702	1.2169322001857996e-08	0.1117772507226819	0.2365678091210881	0.0	20th
infernizar	0	1	0	1	-1.0	0.0	9.595087315294567e-06	0.0	0.0	0.0	0.555021540239623	0.0	20th
amar	139	146	0	285	0.3828996027019589	0.0031393274160399	0.001400882748033	181.19280909379225	2.660641419915508e-41	0.6930449877149841	-0.1138610183206911	0.0	20th
viver	94	154	0	248	0.1792333084045597	0.0021229983964586	0.0014776434465553	113.52556367100668	1.6553337670123319e-26	0.4409262709579647	0.0785453964882699	0.0	20th
desejar	17	65	0	82	-0.2379194988112251	0.0003839465185084	0.0006236806754941	16.80032012805122	4.1526296890183575e-05	-0.1624456683550941	0.3226895628710067	0.0	20th
desvalorizar	0	1	0	1	-1.0	0.0	9.595087315294567e-06	0.0	0.0	0.0	0.555021540239623	0.0	20th
estender	22	30	0	52	0.2663601342115073	0.0004968719651286	0.0002878526194588	25.42350332594235	4.602761182726177e-07	0.5508589696298314	0.0049752033203508	0.0	20th
aguardar	3	11	1	15	-0.2180636157992865	6.775526797208483e-05	0.0001055459604682	0.4648866758241757	0.495348990323728	-0.1983776775811572	0.2448666119357833	-1.0046066902204565	20th
acenar	5	24	0	29	-0.3419407633032528	0.0001129254466201	0.000230282095567	3.5018867924528303	0.061298954193975	-0.3467976826994309	0.3657795406010945	0.0	20th
recobrar	0	9	0	9	-1.0	0.0	8.635578583765112e-05	0.0	0.0	0.0	0.5550215402396229	0.0	20th
animar	2	25	0	27	-0.6830689580458655	4.517017864805656e-05	0.0002398771828823	0.5192307692307692	0.4711699984900556	-1.1916294505914409	0.4780604991034945	0.0	20th
preparar	16	47	0	63	-0.1103093765330972	0.0003613614291844	0.0004509691038188	16.107954545454547	5.983219599610017e-05	0.0405142307011916	0.2620344155581488	0.0	20th
sustentar	11	32	1	44	-0.1055068420042414	0.0002484359825643	0.0003070427940894	8.30093839249286	0.0039624598985734	0.0247658737330523	0.2365678091210881	-2.080746123036508	20th
despistar	0	4	0	4	-1.0	0.0	3.838034926117828e-05	0.0	0.0	0.0	0.555021540239623	0.0	20th
descer	46	64	0	110	0.2570045968404195	0.0010389141089053	0.0006140855881788	55.65967016491754	8.616801735854344e-14	0.5392212655496216	0.0134242578068785	0.0	20th
oprimir	0	1	0	1	-1.0	0.0	9.595087315294567e-06	0.0	0.0	0.0	0.555021540239623	0.0	20th
perdoar	11	54	0	65	-0.3518249958019753	0.0002484359825643	0.0005181347150259	9.931245225362874	0.0016249656714979	-0.3654317622443235	0.3696183169082602	0.0	20th
auxiliar	8	11	0	19	0.2625008801437303	0.0001806807145922	0.0001055459604682	7.758333333333333	0.0053465274439187	0.5460627973663383	0.0084778338715528	0.0	20th
odiar	4	12	0	16	-0.1206955465279623	9.034035729611313e-05	0.0001151410477835	2.571428571428571	0.108809430040546	0.0247658737330523	0.267339467787842	0.0	20th
escarnecer	0	3	0	3	-1.0	0.0	2.878526194588371e-05	0.0	0.0	0.0	0.555021540239623	0.0	20th
esquecer	40	68	0	108	0.1612844996598713	0.0009034035729611	0.00065246593744	46.66704545454545	8.413198466062317e-12	0.4178084618426594	0.0923980182915098	0.0	20th
entender	24	116	0	140	-0.3449927802768791	0.0005420421437766	0.0011130301285741	24.108072916666668	9.107767390096132e-07	-0.3525283574084156	0.3669693087366832	0.0	20th
subornar	1	2	0	3	0.081266145849544	2.258508932402828e-05	1.9190174630589134e-05	0.0	1.0	0.3124479461848331	0.1495564321314586	0.0	20th
resmungar	7	15	0	22	0.0469148558328759	0.0001580956252681	0.0001439263097294	6.115830115830117	0.013397647857616	0.2659279305499404	0.172029287983517	0.0	20th
apitar	1	4	0	5	-0.2590854802934652	2.258508932402828e-05	3.838034926117828e-05	0.0	1.0	-0.1983776775811573	0.3318779889254133	0.0	20th
puxar	9	29	0	38	-0.1557385127809783	0.0002032658039162	0.0002782575321435	8.066334991708125	0.0045095237597629	-0.0293013475372235	0.2847312104997111	0.0	20th
errar	1	12	0	13	-0.6720290019259091	2.258508932402828e-05	0.0001151410477835	0.0	1.0	-1.153889122608594	0.4749788325660863	0.0	20th
rir	43	49	0	92	0.347598185124025	0.0009711588409332	0.0004701592784494	53.53389411182583	2.5416963181623644e-13	0.6504717734974651	-0.0749467386987907	0.0	20th
roncar	0	5	0	5	-1.0	0.0	4.797543657647284e-05	0.0	0.0	0.0	0.555021540239623	0.0	20th
lamentar	6	11	0	17	0.1243051978348872	0.0001355105359441	0.0001055459604682	5.05952380952381	0.0244909664082668	0.3696063600247818	0.1197034689817772	0.0	20th
parar	37	82	0	119	0.0301095760649266	0.000835648304989	0.0007867971598541	41.47478822105688	1.194009062758433e-10	0.242854654385638	0.1826172943923467	0.0	20th
mover	11	11	0	22	0.4036647204994039	0.0002484359825643	0.0001055459604682	12.12121212121212	0.0004985148935752	0.7179130542929977	-0.1381256403203224	0.0	20th
esperar	115	237	1	353	0.0663576842493837	0.0025972852722632	0.0022740356937248	132.48823795349747	1.1699781510210012e-30	0.2895243062828962	0.1566136244414574	-4.163024546051544	20th
desenvolver	3	20	0	23	-0.4781171757636454	6.775526797208483e-05	0.0001919017463058	1.4263565891472867	0.2323599665792103	-0.6258216924080969	0.4152595978644641	0.0	20th
comprar	8	27	0	35	-0.1782535226259695	0.0001806807145922	0.0002590673575129	6.915322580645161	0.0085460223129872	-0.0648462849566347	0.2955103447545383	0.0	20th
aceitar	25	51	0	76	0.071422623486546	0.0005646272331007	0.00048934945308	27.57543307086614	1.5108558541830218e-07	0.2992027194348124	0.1561138326776175	0.0	20th
sumir	8	13	0	21	0.1831745024872975	0.0001806807145922	0.0001247361350988	7.5661764705882355	0.0059473819433827	0.4459793388093558	0.0754484599777367	0.0	20th
derrotar	1	20	0	21	-0.7894034917555771	2.258508932402828e-05	0.0001919017463058	0.0	1.0	-1.6334622028704802	0.5062313760701909	0.0	20th
existir	10	71	0	81	-0.502038645757259	0.0002258508932402	0.0006812511993859	8.632894736842106	0.0033014654611876	-0.6808038268254503	0.4232522626084996	0.0	20th
trepar	2	4	0	6	0.081266145849544	4.517017864805656e-05	3.838034926117828e-05	0.6000000000000001	0.4385780260809997	0.3124479461848331	0.1495564321314586	0.0	20th
abaixar	22	24	0	46	0.3666208909106513	0.0004968719651286	0.000230282095567	26.345454545454544	2.85489998339761e-07	0.6734612917221638	-0.0955660259015264	0.0	20th
cheirar	0	3	0	3	-1.0	0.0	2.878526194588371e-05	0.0	0.0	0.0	0.555021540239623	0.0	20th
temer	5	18	0	23	-0.2093080421156131	0.0001129254466201	0.0001727115716753	3.590243902439025	0.058119712405809	-0.1149960686421063	0.309899082206638	0.0	20th
precisar	41	62	0	103	0.2176978863793164	0.0009259886622851	0.0005948954135482	48.72135994087214	2.9503562179818974e-12	0.4899033133276149	0.0474269370550786	0.0	20th
afiar	1	2	0	3	0.081266145849544	2.258508932402828e-05	1.9190174630589134e-05	0.0	1.0	0.3124479461848331	0.1495564321314586	0.0	20th
escutar	20	41	3	64	0.068989683203338	0.0004517017864805	0.000393398579927	15.49275027975893	8.282229926468493e-05	0.247909425047262	0.1097105235842589	-1.3568272838098083	20th
inventar	7	25	0	32	-0.2054953402324574	0.0001580956252681	0.0002398771828823	5.7744360902255645	0.0162609367804502	-0.1087655188914701	0.3081614623080971	0.0	20th
integrar	0	3	0	3	-1.0	0.0	2.878526194588371e-05	0.0	0.0	0.0	0.555021540239623	0.0	20th
pairar	1	3	0	4	-0.1206955465279623	2.258508932402828e-05	2.878526194588371e-05	0.0	1.0	0.0247658737330523	0.267339467787842	0.0	20th
sinalizar	0	5	0	5	-1.0	0.0	4.797543657647284e-05	0.0	0.0	0.0	0.555021540239623	0.0	20th
modificar	1	2	0	3	0.081266145849544	2.258508932402828e-05	1.9190174630589134e-05	0.0	1.0	0.3124479461848331	0.1495564321314586	0.0	20th
estabelecer	1	15	0	16	-0.7287262079062957	2.258508932402828e-05	0.0001439263097294	0.0	1.0	-1.3615284873868383	0.4904830191020518	0.0	20th
acrescentar	22	69	0	91	-0.1425354710484554	0.0004968719651286	0.0006620610247553	22.801704545454548	1.796063377230524e-06	-0.0087568183055912	0.2782685383200323	0.0	20th
executar	6	16	0	22	-0.0623144332679538	0.0001355105359441	0.0001535213970447	4.824561403508772	0.0280570027178016	0.1117772507226821	0.2365678091210881	0.0	20th
postular	0	1	0	1	-1.0	0.0	9.595087315294567e-06	0.0	0.0	0.0	0.555021540239623	0.0	20th
distinguir	4	10	0	14	-0.0301169080439713	9.034035729611313e-05	9.595087315294569e-05	2.625	0.1051925051200413	0.1582972663575748	0.2185493036184097	0.0	20th
determinar	6	29	0	35	-0.3449927802768791	0.0001355105359441	0.0002782575321435	4.557291666666667	0.0327788695088585	-0.3525283574084156	0.3669693087366832	0.0	20th
ponderar	1	26	0	27	-0.8339681796240626	2.258508932402828e-05	0.0002494722701976	0.0	1.0	-1.8847766311513865	0.5172812122567759	0.0	20th
sublinhar	4	9	0	13	0.0225504155766747	9.034035729611313e-05	8.635578583765112e-05	2.659090909090909	0.102959564767238	0.2324052385112966	0.1872967601143055	0.0	20th
assinalar	0	2	0	2	-1.0	0.0	1.9190174630589134e-05	0.0	0.0	0.0	0.555021540239623	0.0	20th
emergir	0	1	0	1	-1.0	0.0	9.595087315294567e-06	0.0	0.0	0.0	0.555021540239623	0.0	20th
manobrar	1	7	0	8	-0.4967150297349568	2.258508932402828e-05	6.716561120706198e-05	0.0	1.0	-0.668381306826893	0.4214901476151004	0.0	20th
indicar	6	37	0	43	-0.4474919916291485	0.0001355105359441	0.0003550182306658	4.479166666666667	0.0343104466036433	-0.5583804116125645	0.4047393371902849	0.0	20th
desfiar	1	8	0	9	-0.5453236656807057	2.258508932402828e-05	7.676069852235655e-05	0.0	1.0	-0.7861643424832765	0.4372385045832394	0.0	20th
surrar	2	11	0	13	-0.4005926782240357	4.517017864805656e-05	0.0001055459604682	0.5416666666666666	0.4617428253910867	-0.4607419420486487	0.3879674555764567	0.0	20th
variar	1	6	0	7	-0.4364689279283663	2.258508932402828e-05	5.757052389176742e-05	0.0	1.0	-0.5348499142023705	0.4008708604123644	0.0	20th
brigar	1	17	0	18	-0.7567593114482063	2.258508932402828e-05	0.00016311648436	0.0	1.0	-1.479311523043222	0.4978631263996743	0.0	20th
ajustar	0	9	0	9	-1.0	0.0	8.635578583765112e-05	0.0	0.0	0.0	0.5550215402396229	0.0	20th
