word	female	male	unknown	total	skewness	pct_f	pct_m	chi2	p_value	pmi_f	pmi_m	pmi_u	century
braço	372	653	2	1027	0.0663396002592209	0.0021737733081674	0.0019033017768036	446.8756309440138	3.451993336483134e-99	0.2757482750353419	0.1428739210948201	-4.49193851474412	18th
mão	446	907	2	1355	-0.0071328136064831	0.0026061905791469	0.0026436366180105	526.3839375494213	1.7284143236674803e-116	0.1800138493970164	0.1942797185482826	-4.769098038129362	18th
joelho	74	106	0	180	0.1665263674532658	0.0004324172709795	0.0003089586345194	90.64638064638066	1.7178599095687493e-21	0.402359873004713	0.0661762449688039	0.0	18th
olho	591	847	2	1440	0.1662780995238414	0.0034534946912014	0.0024687543720561	736.27982474	3.860986120853676e-162	0.4006692555268055	0.0649963038289553	-4.829939697385608	18th
coluna	0	16	0	16	-1.0	0.0	4.663526558783752e-05	0.0	0.0	0.0	0.5956940017469472	0.0	18th
dedo	39	31	0	70	0.432173290798375	0.0002278955887594	9.03558270764352e-05	51.32267072861133	7.83653955365563e-13	0.706318034771041	-0.2188140358172656	0.0	18th
pé	431	516	0	947	0.2522174322239768	0.002518538429624	0.0015039873152077	555.3864623592307	8.476683629052039e-123	0.5040606276084232	-0.0114983259575684	0.0	18th
orelha	14	27	0	41	0.0193866169682215	8.180867288802145e-05	7.869701067947581e-05	14.556722689075633	0.0001360025261588	0.2167368936017044	0.1779588010469684	0.0	18th
unha	5	18	0	23	-0.2846070664360759	2.9217383174293376e-05	5.246467378631721e-05	3.590243902439025	0.058119712405809	-0.2348046728042956	0.3505715437139622	0.0	18th
cabeça	8	13	0	21	0.1046404530761919	4.67478130788694e-05	3.789115329011799e-05	7.5661764705882355	0.0059473819433827	0.3261707346471666	0.116120921485061	0.0	18th
punho	4	9	0	13	-0.0576223909719759	2.33739065394347e-05	2.623233689315861e-05	2.659090909090909	0.102959564767238	0.1125966343491073	0.2279692216216299	0.0	18th
face	79	61	0	140	0.4438906401131099	0.0004616346541538	0.0001777969500536	107.28131494426604	3.862589470619898e-25	0.7190570605484707	-0.2350745566890458	0.0	18th
pele	3	15	0	18	-0.4275870641163285	1.7530429904576026e-05	4.372056148859768e-05	1.4545454545454546	0.2277999939882255	-0.5005078385373014	0.4133724449529924	0.0	18th
garganta	0	3	0	3	-1.0	0.0	8.744112297719536e-06	0.0	0.0	0.0	0.5956940017469472	0.0	18th
perna	20	57	0	77	-0.1740892803161633	0.0001168695326971	0.0001661381336566	20.74402985074627	5.249498229584786e-06	-0.0568215176089392	0.2949398477278134	0.0	18th
ombro	14	79	0	93	-0.4757035594494029	8.180867288802145e-05	0.0002302616238399	13.053986710963455	0.0003026395227582	-0.6022905328472437	0.4325423610607126	0.0	18th
cabelo	50	48	0	98	0.3524073456222883	0.0002921738317429	0.0001399057967635	64.46520547945207	9.825218124386484e-16	0.6183071574483279	-0.1180724660157338	0.0	18th
dente	15	12	0	27	0.4295547766549831	8.765214952288013e-05	3.497644919087814e-05	18.09230769230769	2.1044991581219983e-05	0.7034649657886346	-0.2152362144693816	0.0	18th
corpo	2	13	0	15	-0.5285437835100669	1.168695326971735e-05	3.789115329011799e-05	0.5357142857142857	0.4642143127710313	-0.7236513898515111	0.4525931581062738	0.0	18th
língua	4	8	0	12	0.0012052236083752	2.33739065394347e-05	2.331763279391876e-05	2.7	0.1003482464622905	0.1926393420226439	0.1902288936387828	0.0	18th
osso	7	10	0	17	0.1678381765195872	4.0904336444010726e-05	2.914704099239845e-05	6.476190476190477	0.0109329059529205	0.4039484356898509	0.0650657506847768	0.0	18th
pálpebra	5	5	0	10	0.3344042129909629	2.9217383174293376e-05	1.4573520496199226e-05	4.266666666666667	0.0388671038124173	0.5981044501308083	-0.0974531788129981	0.0	18th
peito	9	10	0	19	0.2868207427139493	5.259128971372808e-05	2.914704099239845e-05	9.31800766283525	0.0022691259336247	0.5440372288605326	-0.0461598844254474	0.0	18th
sorriso	8	5	0	13	0.5246835107276802	4.67478130788694e-05	1.4573520496199226e-05	8.847222222222221	0.0029353528570698	0.8057438149090527	-0.3598174432804892	0.0	18th
pulso	3	3	0	6	0.3344042129909629	1.7530429904576026e-05	8.744112297719536e-06	1.7777777777777777	0.1824224394517319	0.5981044501308083	-0.0974531788129981	0.0	18th
bochecha	4	6	0	10	0.144037566826085	2.33739065394347e-05	1.748822459543907e-05	2.8125	0.0935325126890928	0.3749608988165985	0.0848683779809563	0.0	18th
pupila	3	2	0	5	0.5009033733228535	1.7530429904576026e-05	5.82940819847969e-06	1.9047619047619049	0.1675462774886132	0.7804260069247629	-0.320596730127208	0.0	18th
pescoço	0	2	0	2	-1.0	0.0	5.82940819847969e-06	0.0	0.0	0.0	0.5956940017469472	0.0	18th
