word	female	male	unknown	total	skewness	pct_f	pct_m	chi2	p_value	pmi_f	pmi_m	pmi_u	century
portentoso	2	2	0	4	0.4420756510914419	2.3424689622862496e-05	9.062773299257306e-06	0.6666666666666666	0.4142161782425251	0.7969393552780382	-0.1526760460487262	0.0	19th
barbeado	0	1	0	1	-1.0	0.0	4.531386649628653e-06	0.0	0.0	0.0	0.5404711345112191	0.0	19th
risonho	0	17	0	17	-1.0	0.0	7.703357304368709e-05	0.0	0.0	0.0	0.5404711345112191	0.0	19th
impotente	1	4	0	5	-0.2149348189177219	1.1712344811431248e-05	1.8125546598514613e-05	0.0	1.0	-0.1193513765961169	0.3173275831970093	0.0	19th
dorido	0	1	0	1	-1.0	0.0	4.531386649628653e-06	0.0	0.0	0.0	0.5404711345112191	0.0	19th
pensativo	3	20	1	24	-0.4412261056384299	3.513703443429375e-05	9.062773299257306e-05	0.3718577075098813	0.5419933956971369	-0.5893550058418525	0.3581495777172644	-1.5286949871153024	19th
fundador	0	1	0	1	-1.0	0.0	4.531386649628653e-06	0.0	0.0	0.0	0.5404711345112191	0.0	19th
conversado	0	2	0	2	-1.0	0.0	9.062773299257306e-06	0.0	0.0	0.0	0.5404711345112191	0.0	19th
complicada	0	1	0	1	-1.0	0.0	4.531386649628653e-06	0.0	0.0	0.0	0.5404711345112191	0.0	19th
influente	0	4	0	4	-1.0	0.0	1.8125546598514613e-05	0.0	0.0	0.0	0.5404711345112191	0.0	19th
louvado	0	2	0	2	-1.0	0.0	9.062773299257306e-06	0.0	0.0	0.0	0.5404711345112191	0.0	19th
apreensivo	3	2	0	5	0.5899179763907451	3.513703443429375e-05	9.062773299257306e-06	1.9047619047619049	0.1675462774886132	0.9792609120719926	-0.3758195973629359	0.0	19th
inexperiente	0	2	0	2	-1.0	0.0	9.062773299257306e-06	0.0	0.0	0.0	0.5404711345112191	0.0	19th
terrorista	0	1	0	1	-1.0	0.0	4.531386649628653e-06	0.0	0.0	0.0	0.5404711345112191	0.0	19th
orleanista	0	2	0	2	-1.0	0.0	9.062773299257306e-06	0.0	0.0	0.0	0.5404711345112191	0.0	19th
bonapartista	0	1	0	1	-1.0	0.0	4.531386649628653e-06	0.0	0.0	0.0	0.5404711345112191	0.0	19th
romanesco	0	1	0	1	-1.0	0.0	4.531386649628653e-06	0.0	0.0	0.0	0.5404711345112191	0.0	19th
dominante	1	2	0	3	0.1275358098113901	1.1712344811431248e-05	9.062773299257306e-06	0.0	1.0	0.3914742471698738	0.1350060264030547	0.0	19th
surpreendente	0	1	0	1	-1.0	0.0	4.531386649628653e-06	0.0	0.0	0.0	0.5404711345112191	0.0	19th
formador	0	3	0	3	-1.0	0.0	1.359415994888596e-05	0.0	0.0	0.0	0.5404711345112191	0.0	19th
