filename	id	title	author	genre
obra_127	A carteira Prosa:conto MdA 1884 masc 	A carteira	Machado de Assis	conto
obra_128	A cartomante Prosa:conto MdA 1884 masc 	A cartomante	Machado de Assis	conto
obra_129	A causa secreta Prosa:conto MdA 1896 masc 	A causa secreta	Machado de Assis	conto
obra_130	A chave Prosa:conto MdA 1879 masc 	A chave	Machado de Assis	conto
obra_131	A chinela turca Prosa:conto MdA 1882 masc 	A chinela turca	Machado de Assis	conto
obra_132	Adão e Eva Prosa:conto MdA 1896 masc 	Adão e Eva	Machado de Assis	conto
obra_133	A desejada das gentes Prosa:conto MdA 1896 masc 	A desejada das gentes	Machado de Assis	conto
obra_134	A herança Prosa:conto MdA 1878 masc 	A herança	Machado de Assis	conto
obra_135	A idéia do Ezequiel Maia Prosa:conto MdA 1883 masc 	A idéia do Ezequiel Maia	Machado de Assis	conto
obra_136	A inglesinha Barcelos Prosa:conto MdA 1894 masc 	A inglesinha Barcelos	Machado de Assis	conto
obra_137	Almas agradecidas Prosa:conto MdA 1871 masc 	Almas agradecidas	Machado de Assis	conto
obra_138	A mágoa do infeliz Cosme Prosa:conto MdA 1875 masc 	A mágoa do infeliz Cosme	Machado de Assis	conto
obra_139	A Mão e a Luva Prosa:romance MdA 1874 romantismo masc 	A Mão e a Luva	Machado de Assis	romance
obra_140	A melhor das noivas Prosa:conto MdA 1977 masc 	A melhor das noivas	Machado de Assis	conto
obra_141	A mulher de preto Prosa:conto MdA 1870 masc 	A mulher de preto	Machado de Assis	conto
obra_142	A mulher pálida Prosa:conto MdA 1881 masc 	A mulher pálida	Machado de Assis	conto
obra_143	Anedota do cabriolet Prosa:conto MdA 1906 masc 	Anedota do cabriolet	Machado de Assis	conto
obra_144	Antes a rocha Tarpéia Prosa:conto MdA 1887 masc 	Antes a rocha Tarpéia	Machado de Assis	conto
obra_145	Antes da missa Teatro:comédia MdA 1878 masc 	Antes da missa	Machado de Assis	
obra_146	Antes que cases Prosa:conto MdA 1875 masc 	Antes que cases	Machado de Assis	conto
obra_147	Ao acaso Prosa:cronica MdA 1864 masc 	Ao acaso	Machado de Assis	cronica
obra_148	A parasita azul Prosa:conto MdA 1873 masc 	A parasita azul	Machado de Assis	conto
obra_149	A pianista Prosa:conto MdA 1866 masc 	A pianista	Machado de Assis	conto
obra_150	Aquarelas Prosa:cronica MdA 1859 masc 	Aquarelas	Machado de Assis	cronica
obra_151	A reforma pelo jornal Prosa:cronica MdA 1859 masc 	A reforma pelo jornal	Machado de Assis	cronica
obra_152	As bodas de Luis Duarte Prosa:conto MdA 1873 masc 	As bodas de Luis Duarte	Machado de Assis	conto
obra_153	A semana Prosa:cronica MdA 1892 masc 	A semana	Machado de Assis	cronica
obra_154	A sereníssima república Prosa:conto MdA 1882 masc 	A sereníssima república	Machado de Assis	conto
obra_155	Astúcias de marido Prosa:conto MdA 1866 masc 	Astúcias de marido	Machado de Assis	conto
obra_156	A última receita Prosa:conto MdA 1875 masc 	A última receita	Machado de Assis	conto
obra_157	Aurora sem dia Prosa:conto MdA 1873 masc 	Aurora sem dia	Machado de Assis	conto
obra_158	A vida eterna Prosa:conto MdA 1870 masc 	A vida eterna	Machado de Assis	conto
obra_159	A viúva Sobral Prosa:conto MdA 1884 masc 	A viúva Sobral	Machado de Assis	conto
obra_160	Ayres e Vergueiro Prosa:conto MdA 1871 masc 	Ayres e Vergueiro	Machado de Assis	conto
obra_161	Badaladas Prosa:cronica MdA 1871 masc 	Badaladas	Machado de Assis	cronica
obra_162	Bagatela Prosa:conto MdA 1859 masc 	Bagatela	Machado de Assis	conto
obra_163	Balas de estalo Prosa:cronica MdA 1883 masc 	Balas de estalo	Machado de Assis	cronica
obra_164	Bons dias Prosa:cronica MdA 1888 masc 	Bons dias	Machado de Assis	cronica
obra_165	Brincar com fogo Prosa:conto MdA 1875 masc 	Brincar com fogo	Machado de Assis	conto
obra_166	Cantiga velha Prosa:conto MdA 1883 masc 	Cantiga velha	Machado de Assis	conto
obra_167	Cartas Fluminenses Prosa:cronica MdA 1867 masc 	Cartas Fluminenses	Machado de Assis	cronica
obra_168	Casada e viúva Prosa:conto MdA 1864 masc 	Casada e viúva	Machado de Assis	conto
obra_169	Casa, não casa Prosa:conto MdA 1975 masc 	Casa, não casa	Machado de Assis	conto
obra_170	Casa velha Prosa:romance MdA 1885 realismo masc 	Casa velha	Machado de Assis	romance
obra_171	Cherchez la femme Prosa:cronica MdA 1881 masc 	Cherchez la femme	Machado de Assis	cronica
obra_172	Cinco mulheres Prosa:conto MdA 1865 masc 	Cinco mulheres	Machado de Assis	conto
obra_173	Comentários da semana Prosa:cronica MdA 1861 masc 	Comentários da semana	Machado de Assis	cronica
obra_174	Como se inventaram os almanaques Prosa:conto MdA 1890 masc 	Como se inventaram os almanaques	Machado de Assis	conto
obra_175	Confissões de uma viúva moça Prosa:conto MdA 1870 masc 	Confissões de uma viúva moça	Machado de Assis	conto
obra_176	Conto de escola Prosa:conto MdA 1896 masc 	Conto de escola	Machado de Assis	conto
obra_177	Conversão de um avaro Prosa:conto MdA 1878 masc 	Conversão de um avaro	Machado de Assis	conto
obra_178	cronicas do Dr. Semana Prosa:cronica MdA 1861 masc 	cronicas do Dr Semana	Machado de Assis	cronica
obra_179	cronicas (O Futuro) Prosa:cronica MdA 1862 masc 	cronicas (O Futuro)	Machado de Assis	cronica
obra_180	Curta história Prosa:conto MdA 1886 masc 	Curta história	Machado de Assis	conto
obra_181	D. Benedita Prosa:conto MdA 1882 masc 	D Benedita	Machado de Assis	conto
obra_182	Decadência de dois grandes homens Prosa:conto MdA 1873 masc 	Decadência de dois grandes homens	Machado de Assis	conto
obra_183	Diana Prosa:conto MdA 1866 masc 	Diana	Machado de Assis	conto
obra_184	Dívida extinta Prosa:conto MdA 1878 masc 	Dívida extinta	Machado de Assis	conto
obra_185	D. Mônica Prosa:conto MdA 1876 masc 	D Mônica	Machado de Assis	conto
obra_186	Dona Jucunda Prosa:conto MdA 1889 masc 	Dona Jucunda	Machado de Assis	conto
obra_187	D. Paula Prosa:conto MdA 1896 masc 	D Paula	Machado de Assis	conto
obra_188	Elogio da vaidade Prosa:conto MdA 1878 masc 	Elogio da vaidade	Machado de Assis	conto
obra_189	Encher tempo Prosa:conto MdA 1876 masc 	Encher tempo	Machado de Assis	conto
obra_190	Entre 1892 e 1894 Prosa:cronica MdA 1892 masc 	Entre 1892 e 1894	Machado de Assis	cronica
obra_191	Entre duas datas Prosa:conto MdA 1884 masc 	Entre duas datas	Machado de Assis	conto
obra_192	Entre santos Prosa:conto MdA 1896 masc 	Entre santos	Machado de Assis	conto
obra_193	Ernesto de tal Prosa:conto MdA 1873 masc 	Ernesto de tal	Machado de Assis	conto
