title	author
O Tupinambá	Souza Lima
Vesperal	Coelho Neto
Pombos de Maomé	Humberto de Campos
Coisas da vida	Alfredo de Assis
Rei negro	Coelho Neto
À margem da história	Euclides da Cunha
O paroara: scenas da vida cearense e amazonica	Rodolpho Theophilo
O cacaolista: scenas da vida do Amazonas	Inglês de Sousa
A carteira de um neurastênico	Antonio Lobo
A viagem maravilhosa	Graça Aranha
As Mulheres de Mantilha	Joaquim Manuel de Macedo
Cinco Minutos	José de Alencar
Às quintas	Coelho Neto
As Vítimas-Algozes	Joaquim Manuel de Macedo
Casa de Pensão	Aluísio Azevedo
As sete dores de Nossa Senhora	Coelho Neto
A Funda de Davi	Humberto de Campos
Ao correr da pena	José de Alencar
O Ermitão da Glória	José de Alencar
O Garatuja	José de Alencar
Os romances da semana	Joaquim Manuel de Macedo
Canteiro de saudades	Coelho Neto
Tentação	Adolfo Caminha
Simá: Romance Histórico do Alto Amazonas	Lourenço da Silva Araújo Amazonas
Inverno em flor	Coelho Neto
Encarnação	José de Alencar
Baú velho	Viriato Correia
Novela e conto	Amadeu Amaral
Mattos, Malta ou Matta?	Aluísio Azevedo
Memorial de um passageiro de bonde	Amadeu Amaral
O brigue flibusteiro	Virgílio Várzea
O touro negro	Aluísio Azevedo
O vaqueano	Apolinário Porto-Alegre
Adelaide de Sargans	Caetano Alves de Sousa Filgueiras
O morto	Coelho Neto
Últimas crônicas 	Humberto de Campos
Paulo	Bruno Seabra
O Príncipe de Nassau	Paulo Setúbal
O bandido do Rio das Mortes	Bernardo Guimarães
Maurício	Bernardo Guimarães
Jovens interessantes	Paulina Filadélfia
Ida	Viriato Bandeira Duarte
Hóspede	Pardal Mallet
Flor de sangue	Valentim Magalhães
A noiva do paladino	Virgílio Várzea
Rose-Castle	Virgílio Várzea
Demônios	Aluísio Azevedo
Diva	José de Alencar
Mana Maria	Alcântara Machado
Novelas paulistanas	Alcântara Machado
Sonhos dOuro	José de Alencar
Treva	Coelho Neto
Os franceses no Rio de Janeiro	Moreira de Azevedo
Arca açoriana	Almiro Caldeira de Andrade
George Marcial	Virgílio Várzea
O garimpeiro	Bernardo Guimarães
O Japão	Aluísio Azevedo
