name,prob_fem
josiane,0.99518535295235
livia,0.996847715326701
cintia,0.996907708748607
ivone,0.993881754300945
lais,0.995196443388829
benedita,0.995863407062476
sebastiana,0.99452507979405
taina,0.979618939417201
joice,0.992371001999001
mirian,0.99603008610688
elizabete,0.997699367931611
angelica,0.996691179444862
gabriele,0.982340398242858
brenda,0.994828908627558
veronica,0.99723768432824
rosilene,0.99754643936564
karina,0.996759416355616
nair,0.9918910347074
neusa,0.998036012235818
margarida,0.997035581712756
neuza,0.997717829673441
neide,0.994917698368036
raissa,0.995652939105949
maiara,0.995417813693278
lorena,0.996402813640816
franciele,0.994044497382246
samara,0.996055119748831
lilian,0.996341966536787
janete,0.997158124178017
cicera,0.99575733033923
giovana,0.994539897879319
severina,0.995309753644575
lara,0.996560043729855
cleide,0.99171782313181
nicole,0.992194144663479
cecilia,0.997425763419046
yasmin,0.995539653915512
conceicao,0.985238470256046
ingrid,0.995454501306345
selma,0.99757727326013
leila,0.997915157684553
raiane,0.99457949421682
ester,0.993942895853673
regiane,0.995930845020965
marisa,0.997308251922677
eunice,0.996769419954563
kelly,0.995405691082436
tainara,0.995448873229098
iara,0.996737994447201
joelma,0.995941152031022
marinalva,0.99709485511658
teresinha,0.997874108366517
rebeca,0.995814044044477
geralda,0.994192094313454
cleonice,0.996596735061314
alexandra,0.987995622713255
mara,0.996772307069435
jenifer,0.989863769962338
elizangela,0.997441734661678
liliane,0.997225650839665
lidia,0.997326051734101
iracema,0.997821770945601
lidiane,0.997007704301568
iraci,0.956102288495848
marilia,0.996896694404855
sheila,0.997423428233191
ines,0.996915383357091
naiara,0.99650766211923
poliana,0.996274481975589
dalva,0.99606275726302
lurdes,0.996720997582633
teresa,0.997561502979051
zilda,0.997498045347928
lucilene,0.997459331238185
clara,0.996262178065014
rosane,0.997282443859415
ivonete,0.997125946854373
luciane,0.996454814215091
isadora,0.99704942217851
nilza,0.998044466587781
paloma,0.995453228711412
carmem,0.996705148838565
suelen,0.99590226327007
rosimeire,0.997243772968559
cleusa,0.997965942576994
vanda,0.997454075437703
ilda,0.9974661059011
jane,0.979959919839679
eliene,0.995113428875432
mayara,0.996203897332072
diana,0.996490853536499
sofia,0.996314496314496
ariane,0.995630017076549
suzana,0.997416964189116
mariane,0.995325650828819
clarice,0.996971795602993
daiana,0.996756830414935
edilene,0.99552852302394
miriam,0.996677553778579
elisabete,0.997587283565143
eliete,0.996109778086976
karine,0.996187746327481
jussara,0.997689524390776
izabel,0.997165079595842
odete,0.992404806424026
karen,0.995535193183145
luisa,0.995447847211077
cassia,0.995935258685439
alana,0.99470393527032
monique,0.995294499432095
catia,0.997574502699105
lucimar,0.830933690489478
deise,0.995669191731282
isabele,0.996126697373931
keila,0.996712994926905
evelin,0.991087744525329
andreza,0.996312138204132
adriele,0.993672224235834
joseane,0.990842906658191
lourdes,0.997016807368793
yasmim,0.995401627116559
alzira,0.996738421395956
carina,0.996192274407993
erika,0.995915588835943
gislaine,0.996449609934724
emily,0.995150230444348
jamile,0.994264415275613
claudete,0.994704907215167
catarina,0.996670168916188
gessica,0.99515489649097
manuela,0.994708562656171
telma,0.99739695593063
elen,0.992560630858503
arlete,0.99567374346468
geni,0.985245168662129
heloisa,0.997435075344662
elizete,0.996022611874619
valdirene,0.992789598108747
valquiria,0.997029921420207
eloisa,0.99683172364454
nadir,0.888138546999238
juliane,0.995306393076494
zelia,0.997845507094062
jandira,0.997118307532814
dirce,0.993917402888795
emili,0.9935525807245
carmen,0.996961399169685
fabiola,0.995568893988878
amelia,0.99729931416794
rejane,0.995318235826136
estefani,0.989661936487179
maira,0.995429973682339
anna,0.996709165782517
elisa,0.996901598410702
rute,0.99581758077183
elizabeth,0.998040687773526
luzinete,0.9972539543058
iolanda,0.997023317347445
pricila,0.996280405840868
rosalina,0.9970584907795
madalena,0.996458132090838
leidiane,0.996283165599268
roseane,0.997128472155752
maisa,0.995780914390917
olga,0.996697515456396
camile,0.995115384615385
emilia,0.997429156840762
fabiane,0.995168241819833
nadia,0.997116920559473
marilda,0.99760168275374
edite,0.995647207122036
vivian,0.996400245258015
paola,0.995213986235266
nathalia,0.996268060988265
cleuza,0.997760223977602
lucimara,0.996990912555919
tamara,0.996164928371413
glaucia,0.996726511192892
